stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,heart,immune,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,5.26,5.26,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,42.06,5.26,0,0,18.4,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0,25.18,3.15,0,0,18.88,0,0,3.15,0,0,0,0
 14-21,0,0,0,5,0,1,0,0,0,0,0,0,22,0,4,0,1,21,0,0,1,0,0,3,1,7,8,0,0
 24-34,0,0,0.82,0,0,0,0.82,0,0,0.82,0,0,19.7,0,2.46,0,2.46,24.63,0,0,0,0,0.82,0,0,0.82,7.39,0.82,0
 36-46,0,0,0,0.81,0,4.03,0.81,0.81,0,0,0,0,4.83,0,4.83,0,1.61,39.48,0,0,0,0,0,0,0,0,9.67,0,0
 48-58,0,0,0,0.57,0,6.89,2.3,1.72,0,0,0,1.15,3.44,0,1.72,0,0.57,13.77,0,0,0,0,0,0,0,0,5.16,0,0
 60-70,0,0,0,0,0.98,0.98,0.98,3.93,0,0,0,0,11.78,0,0.98,0,0,11.78,0,0,0,0,0.98,0,0,0,1.96,0.98,0
 72-82,0,0,0,0,0,5.89,1.96,28.47,0,0,0,0,25.52,0,0.98,0,0,25.52,0,0,0,0,0,0,0,0,0.98,2.94,0
 84-94,0,0,0,0,1.06,1.06,1.06,45.67,0,0,0,0,50.98,0,2.12,0,0,20.18,0,1.06,0,0,0,0,0,0,0,0,1.06
 96-106,0,0,2.19,3.28,2.19,2.19,1.09,65.57,0,0,0,1.09,48.09,0,3.28,0,1.09,25.14,0,0,3.28,0,2.19,0,0,0,0,0,0
108-118,0,0,1.53,0.77,0,4.6,0.77,25.28,0,0,0.77,0,39.06,0.77,1.53,0.77,0.77,15.32,0,0,0.77,0,0,0,0,0,0.77,0,0
120,0,0,0,0,0,1.96,1.96,21.56,0,1.96,0,0,9.8,0,3.92,0,0,13.72,0,0,0,0,0,0,0,0,0,0,0
