stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,13.18,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,85.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,0,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.43,0,0,0,36.8,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,44.06,0,0,0,9.44,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,7,0,0,0,0,0,2,0,1,1,2,0,1,0
 24-34,0,0,0,0,1.64,0,4.93,0,0,0,0.82,0,0,0,0.82,0,0,0.82,0,0,3.28,0,1.64,18.88,0.82,0,0,0,4.93,0,0.82,0,1.64,3.28,0,0,0
 36-46,0,0,0,0,0.81,0,0.81,1.61,1.61,0,0.81,0.81,0,0,0,0,0,0,0,0,4.03,0,0.81,24.17,0,0,0,0,7.25,0,0.81,0,0,2.42,0,0,0
 48-58,0,0,0,0,1.15,0,5.16,0,0,0,1.15,0,0,0,0,0,0.57,0,0,0,3.44,0,0.57,14.92,0.57,0.57,0.57,0,2.87,0,0,0,0,1.72,0,1.15,0
 60-70,0,0,0,0,0.98,0,13.74,0.98,0,0,0.98,0,0,0,0,0,0.98,0,0,0,2.94,0.98,0,18.65,0,0,0.98,0,8.83,0,0,0.98,0,0.98,0,0.98,0
 72-82,0,0,0,0,1.96,0,3.93,0,0,0,0.98,0.98,0,0,1.96,0,0,0,0,0,10.8,0,0,8.83,0,0,0.98,0,1.96,0,0,0,0,0,0,1.96,0
 84-94,0,0,0,0,3.19,0,5.31,1.06,0,0,2.12,3.19,0,0,0,1.06,0,0,0,0,3.19,0,0,3.19,0,0,0,0,2.12,0,0,0,0,1.06,0,1.06,0
 96-106,0,0,1.09,0,0,0,2.19,0,0,1.09,1.09,1.09,0,1.09,0,1.09,0,0,0,0,3.28,0,0,3.28,0,0,0,0,0,0,1.09,0,0,0,0,0,1.09
108-118,0,0,0,0,2.3,1.53,4.6,0,0,0,1.53,0,0,0,0.77,0,0,0,1.53,0.77,4.6,0,0,4.6,0.77,0,0,0,2.3,0,0.77,0.77,0,0,0.77,0,0
120,0,0,0,0,5.88,0,1.96,0,1.96,0,1.96,3.92,0,0,1.96,0,0,0,1.96,0,3.92,1.96,1.96,11.76,0,1.96,0,0,1.96,0,0,1.96,0,0,0,1.96,0
