stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,8,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,2,8,1,0,0,2,0,4,1,1,1,8,3,6,0,0,0,0
 24-34,0,0,1.64,4.93,0,0,0.82,0,0,0,0,0.82,0.82,0,0,0,0,0,1.64,8.21,1.64,0,2.46,35.3,0.82,0,0.82,0,0,7.39,0,0,0,3.28,0,2.46,0,0,0,0
 36-46,0,0,0,3.22,0.81,0,4.03,0,0,0,0.81,0,0,0.81,0,0,0,0,0.81,10.47,0,0.81,2.42,39.48,0,0.81,0,0,0,7.25,0,0,0,0,0,13.7,0,0.81,0,0
 48-58,0,0,0,2.87,0,0,12.05,0.57,0,1.72,0,0,1.15,1.15,0,0,0,0,1.15,14.35,0.57,1.15,2.3,54.51,0.57,0.57,0,0,0,2.87,0,0,0,0.57,0,5.74,0,0,0,1.15
 60-70,0,0,0,2.94,2.94,0,19.63,0,0.98,0,4.91,0,0.98,0,0.98,0,0,0,0,24.54,0,0.98,0.98,53.98,0,0.98,1.96,0,0.98,5.89,0,0,0,0,0,7.85,0.98,0.98,0,1.96
 72-82,0,0,0,1.96,18.65,0,30.43,0,0,0.98,15.71,0.98,0.98,0,1.96,0,0.98,0,0,26.5,0,0,4.91,37.3,0,0.98,0,0,0.98,0.98,0,0,0,0,0,3.93,1.96,0.98,0.98,0.98
 84-94,0,0,0,4.25,18.05,0,15.93,0,4.25,2.12,15.93,0,0,1.06,1.06,2.12,0,0,0,31.86,0,0,3.19,28.68,0,0,0,0,0,16.99,0,0,0,0,0,2.12,0,0,0,1.06
 96-106,0,0,0,6.56,19.67,1.09,38.25,2.19,1.09,4.37,16.39,0,0,2.19,6.56,0,0,0,0,66.66,1.09,0,4.37,36.06,0,1.09,2.19,0,1.09,5.46,0,0,0,0,0,2.19,2.19,3.28,2.19,1.09
108-118,0,0.77,0,16.85,11.49,0.77,40.6,2.3,2.3,4.6,16.85,0.77,0,0.77,2.3,2.3,0,0,0,55.92,0,2.3,5.36,39.83,1.53,0.77,2.3,0,0,3.06,0,0,0,1.53,0,3.83,1.53,0,0,2.3
120,0,0,0,19.6,13.72,1.96,35.28,1.96,1.96,5.88,17.64,0,0,0,1.96,1.96,0,1.96,0,56.83,0,0,3.92,48.99,0,0,0,0,0,5.88,0,0,1.96,3.92,0,1.96,1.96,1.96,1.96,1.96
