stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,606.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,275.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,2.63,0,0,10.51,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,31.54,2.63,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,6.29,0,3.15,18.88,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,107,6.29,0,0,44.06,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,2,20,9,4,0,0,0,1,4,0,3,0,1,0,0,1,0,10,0,0,9,103,4,2,1,2,0,6,10,2,128,69,41,0,0,3,0,0
 24-34,0.82,0,0.82,0,5.75,0.82,21.34,3.28,3.28,0.82,3.28,0,0.82,5.75,0.82,0,0,0.82,0.82,4.1,23.8,0.82,0.82,21.34,288.94,3.28,6.57,1.64,0,0,22.98,0,0.82,27.91,30.37,75.52,0,0,8.21,0,0.82
 36-46,0,0,0,0,8.86,0.81,55.59,5.64,2.42,0.81,12.09,0,0.81,5.64,2.42,0,0.81,4.03,0,1.61,39.48,1.61,0,11.28,460.04,1.61,4.83,4.03,0,0,16.92,0,0,12.89,0.81,110.38,0,0.81,4.83,0,3.22
 48-58,0,0,0,0,4.02,0.57,107.88,9.18,1.72,3.44,28.69,0,3.44,4.02,2.87,2.3,1.15,2.87,0.57,2.87,60.82,1.72,1.15,9.75,453.31,2.3,11.48,1.72,0,0.57,10.9,0,0,7.46,0,106.15,0,0.57,6.89,0,3.44
 60-70,0,0,0.98,0,9.82,1.96,235.57,17.67,4.91,4.91,55.95,0.98,0.98,4.91,3.93,2.94,0.98,4.91,0,1.96,84.41,0.98,0,6.87,556.52,0,6.87,3.93,0,0.98,13.74,0,1.96,2.94,0,82.45,0,1.96,8.83,0,1.96
 72-82,0,0,0.98,0,8.83,5.89,273.88,10.8,4.91,1.96,47.12,0,0.98,2.94,3.93,1.96,1.96,9.82,0,0.98,89.33,2.94,4.91,8.83,381.87,0,11.78,11.78,0,1.96,16.69,0,0.98,4.91,0,39.27,1.96,0,13.74,0.98,4.91
 84-94,0,0,4.25,0,21.24,3.19,183.73,6.37,1.06,5.31,37.17,5.31,2.12,5.31,2.12,6.37,2.12,7.43,1.06,7.43,62.66,2.12,3.19,16.99,218.78,5.31,7.43,16.99,0,1.06,48.85,0,2.12,8.5,0,15.93,2.12,1.06,11.68,1.06,0
 96-106,0,0,2.19,0,19.67,4.37,151.91,17.49,7.65,2.19,32.79,10.93,0,4.37,6.56,5.46,5.46,15.3,4.37,1.09,67.76,4.37,1.09,13.11,171.58,1.09,18.58,12.02,0,4.37,52.46,0,2.19,13.11,0,15.3,1.09,0,12.02,5.46,3.28
108-118,0,0,0.77,0.77,24.51,3.06,108.77,9.19,7.66,3.06,26.81,4.6,0,2.3,6.13,5.36,7.66,5.36,3.83,1.53,46.72,1.53,4.6,7.66,160.09,2.3,7.66,6.89,0,1.53,17.62,0,1.53,8.43,0,9.19,2.3,2.3,6.13,1.53,1.53
120,0,0,0,0,5.88,1.96,113.67,11.76,7.84,1.96,19.6,5.88,0,1.96,9.8,0,3.92,7.84,0,1.96,31.36,3.92,0,5.88,178.34,1.96,5.88,5.88,0,0,29.4,0,5.88,1.96,0,1.96,1.96,0,3.92,3.92,0
