stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
 14-21,0,1,2,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,8,1,0,0,0,1,3,3,8,0,3,0
 24-34,0,0,1.64,0,0,0,0,0,4.93,1.64,0,1.64,0,0,4.1,0,0,0,16.42,0,0,0,0,12.31,0,0.82,8.21,0,1.64,0
 36-46,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.34,0,1.61,0,0,12.89,0,0,9.67,0,4.03,0
 48-58,0,0,0.57,0,3.44,0.57,0,0.57,4.02,0,0,0,0,0,2.3,0,0,0,41.89,0,0,0,0,5.74,0,0,10.33,0,0.57,0
 60-70,0,0,0.98,0,33.37,0,0.98,0,8.83,0.98,0,0,0,0,4.91,0,0.98,0,199.25,0,0,0,0,4.91,0,0,24.54,0,0,0
 72-82,0.98,0,0.98,0,45.16,0,0,0.98,4.91,0,0,1.96,0.98,0,0.98,0,0,0.98,82.46,0,0,0.98,0,7.85,0,0,4.91,1.96,0.98,0.98
 84-94,0,0,5.31,1.06,16.99,0,0,0,3.19,1.06,0,0,0,0,1.06,0,0,0,14.87,0,1.06,0,0,26.55,0,0,1.06,1.06,1.06,0
 96-106,0,0,8.74,0,37.16,0,0,0,2.19,1.09,1.09,3.28,1.09,0,3.28,0,0,0,43.71,0,0,2.19,2.19,24.04,0,0,0,0,0,0
108-118,0,0,2.3,0.77,16.09,0,0.77,1.53,2.3,0.77,0,1.53,1.53,0.77,2.3,0.77,0,0,25.28,0,0.77,3.83,0,11.49,0,0,2.3,0,0,0
120,0,0,3.92,0,19.6,0,0,0,3.92,1.96,0,1.96,0,1.96,0,0,0,1.96,23.52,0,0,1.96,0,7.84,0,0,0,1.96,0,0
