stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,26.29,2.63,0,0,26.29,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,69.23,37.76,0,0,31.47,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,5,3,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,15,0,0,5,25,20,0,0,1,0,0,4,0,6,16,0,0,1,0,0
 24-34,0,0,0.82,14.78,0,0,6.57,0,1.64,0,3.28,0,0,3.28,0,0.82,0,0,0,1.64,41.04,0,0,27.91,96.04,18.88,0.82,0.82,0,0.82,1.64,0,0,5.75,52.53,0,0,3.28,0,3.28
 36-46,0,0,0,8.86,0,0,9.67,0,2.42,12.89,12.89,0,0,7.25,0,0,0.81,0.81,0,2.42,154.69,0,2.42,58.01,145.02,26.59,0.81,6.45,0,0,0,0,0,0,58.81,0,0.81,9.67,0,5.64
 48-58,0,0.57,0,5.16,0,0,8.61,0,1.72,13.2,25.25,0,0,1.15,0,0,0,0,0,3.44,171.57,0,2.87,35,59.1,11.48,0,1.72,0,1.15,1.72,0,0,0,30.41,0,1.15,13.77,0,2.87
 60-70,1.96,0,0,2.94,0,0,15.7,0,2.94,25.52,82.45,0,0.98,3.93,0,0,0.98,0,1.96,0.98,469.17,0,8.83,35.33,118.76,12.76,0,2.94,0,4.91,2.94,0,0.98,0,28.46,0,5.89,10.8,1.96,4.91
 72-82,0,0,0,4.91,0,0,19.63,0,0,13.74,42.21,0,0,0.98,0,0,1.96,0,0,1.96,258.18,0.98,4.91,17.67,56.94,1.96,0,1.96,0,0.98,1.96,0,0,0,13.74,0,7.85,14.72,3.93,0
 84-94,0,0,0,11.68,0,0,16.99,0,0,9.56,35.05,0,0,1.06,1.06,2.12,3.19,1.06,0,0,206.04,1.06,5.31,21.24,46.73,1.06,1.06,5.31,0,1.06,12.74,0,0,0,3.19,1.06,7.43,10.62,1.06,1.06
 96-106,0,0,0,4.37,0,1.09,9.84,1.09,5.46,2.19,17.49,3.28,0,1.09,1.09,0,1.09,1.09,0,0,128.96,0,3.28,6.56,30.6,1.09,1.09,1.09,0,1.09,16.39,0,0,0,3.28,0,5.46,10.93,7.65,1.09
108-118,0,0,0,7.66,0,0.77,10.72,0.77,2.3,4.6,13.02,5.36,0,0,1.53,1.53,4.6,0,0,1.53,84.26,0,4.6,5.36,31.4,1.53,0.77,5.36,0,0.77,3.06,0,0.77,0,0.77,0,0.77,4.6,0.77,5.36
120,0,0,0,17.64,0,0,7.84,0,3.92,1.96,27.44,1.96,0,1.96,1.96,0,1.96,1.96,0,0,54.87,1.96,1.96,1.96,54.87,1.96,0,1.96,0,0,7.84,0,0,0,1.96,0,0,3.92,0,0
