stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,1,6,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,10,1,2,0,1,1,1,2,0,0,9,4,0,0,0
 24-34,0.82,1.64,2.46,0,0,0.82,0,0,0.82,0.82,0,0,0,0,0,0,2.46,0,0,0.82,21.34,0,0.82,0.82,0,8.21,0,0,0,0,3.28,3.28,0,0,0
 36-46,0,0,1.61,0,0,3.22,0,0.81,4.03,0,0,0,0,0,0,0,0.81,0,0,0,19.34,0.81,0,0,0,6.45,0.81,0,0,0,0,8.86,0,0,0
 48-58,0,0,2.3,0,0,3.44,0,0,0,0,0.57,0,1.15,0,0,0,1.15,0,0,0,25.25,0,0,0,0,5.74,0,0,0,0,0,1.15,0,0,0
 60-70,0,0,0.98,0.98,0,23.56,0,0.98,5.89,0,0,0,0,0,0,0,1.96,0,0,0,49.08,0,0,0,0,3.93,0,0,0.98,0.98,0,7.85,0,0,0
 72-82,0,0,1.96,0,0,36.32,0,0,6.87,1.96,0,0,1.96,0,0.98,0,5.89,0,0.98,0,48.1,0,0,0,0,2.94,0,0,0,0,0,5.89,0,0,0
 84-94,0,0,3.19,0,0,27.61,0,0,5.31,0,0,0,0,0,0,0,3.19,0,0,1.06,39.3,0,1.06,1.06,0,3.19,0,0,0,0,0,6.37,0,1.06,1.06
 96-106,0,0,9.84,0,2.19,113.66,1.09,0,5.46,3.28,0,0,1.09,0,1.09,2.19,5.46,2.19,0,0,49.18,0,1.09,1.09,0,26.23,0,0,1.09,0,0,2.19,0,0,0
108-118,0,0,6.13,0,0,22.21,0,1.53,1.53,1.53,0,0.77,0,0.77,0.77,0,6.13,0,0,0.77,29.11,0,1.53,0.77,0,9.96,0,0,0,0,0,0.77,0.77,1.53,0
120,0,0,7.84,0,0,47.03,1.96,0,7.84,1.96,0,0,1.96,0,0,0,5.88,0,0,1.96,39.2,0,0,1.96,0,9.8,0,0,0,0,0,5.88,1.96,5.88,0
