stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,ionocyte,iridophores,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,visceral_smooth_muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,40.91,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0
 14-21,0,0,0,10,0,0,1,0,0,1,0,0,2,0,0,23,1,0,0,0,0,0,1,25,3,5,16,0,0,0
 24-34,0,1.64,0,1.64,1.64,0,0.82,0,0,4.93,0,0,2.46,0.82,0.82,68.13,0,0.82,0,0,0,0,0,5.75,0,0.82,28.73,0,0,0
 36-46,0,0.81,0,0,4.83,0,0.81,0,0,1.61,0,0,2.42,0,0,68.48,0,1.61,2.42,0,0,0.81,0,6.45,0,0,53.98,0,0,0
 48-58,0,0,0,0,6.89,0,2.3,0,0,0,0,0.57,5.74,0,0,48.2,0,0,3.44,0,0,0,0,0.57,0,0,45.33,0,0,0
 60-70,0,0,0.98,0,8.83,0,2.94,0,1.96,0.98,0.98,0,5.89,0,0,67.73,0,0,2.94,0,1.96,0,0,0.98,0,0,41.22,0,0.98,0
 72-82,0,0,0,0,4.91,0,3.93,0,0,0,0,0,7.85,0,0.98,114.85,0,0.98,0.98,0,0.98,0,0,3.93,0,0,33.38,0.98,0.98,0.98
 84-94,0,0,2.12,0,9.56,0,4.25,2.12,1.06,4.25,2.12,0,14.87,0,0,44.61,0,0,2.12,0,0,0,0,8.5,0,0,3.19,0,1.06,0
 96-106,0,0,3.28,0,9.84,0,2.19,1.09,0,5.46,2.19,0,5.46,0,0,51.36,0,0,1.09,0,0,0,0,7.65,0,0,12.02,1.09,0,5.46
108-118,0,0,0,0,2.3,0.77,4.6,3.06,0,3.83,3.06,0.77,6.13,0,0,57.45,0,0,3.83,0,0,0,0,8.43,0,0,6.89,0,0,3.06
120,0,0,0,0,0,0,3.92,7.84,0,0,1.96,1.96,5.88,0,0,66.63,0,1.96,0,0,0,0,0,0,0,0,15.68,0,0,7.84
