stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,316.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0,0
  5-6,6.13,171.63,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,15.77,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,55.2,5.26,0,0,26.29,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.38,0,0,0,6.29,0,9.44,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,99,1,3,0,0,1,0,0,0,0,1,1,0,0,4,0,0,0,15,0,0,2,0,0,74,0,0,0,6,0,0,0,0,0
 24-34,0,0,0,0,120.67,0.82,7.39,0,0,0,0.82,0,0.82,0.82,0,1.64,0.82,0.82,22.16,3.28,0,1.64,18.88,0.82,1.64,2.46,0,0,115.74,0,0,0,5.75,0,0,9.85,0,0
 36-46,0,0,0,0,29.81,0,0,0.81,0,0.81,0,0,1.61,0,0.81,1.61,0,0,15.31,1.61,0,3.22,13.7,0,2.42,1.61,0,0,57.2,0,0,0,5.64,0,0,8.06,0,0
 48-58,0,0,0,0,9.18,0,2.87,1.72,0.57,2.87,0.57,0.57,1.72,0,0,0.57,1.15,0,22.95,0,0.57,2.3,4.59,0.57,0,2.87,0,0,16.07,0,0,0.57,4.59,0,0,1.72,0,0
 60-70,0,0,0,0,11.78,0,3.93,3.93,3.93,18.65,3.93,0,3.93,0,0,0.98,7.85,0,43.19,0,0,3.93,3.93,0,0.98,1.96,0,0.98,25.52,0,0,0,2.94,0,1.96,3.93,0,0
 72-82,0,0,4.91,0,9.82,0.98,6.87,0.98,8.83,46.14,14.72,0,1.96,0,1.96,2.94,2.94,0,73.62,0.98,0,10.8,13.74,0,0,2.94,0,0.98,19.63,0,0,0,1.96,0,2.94,7.85,0.98,0.98
 84-94,0,0,2.12,0,19.12,0,11.68,1.06,2.12,13.81,23.36,1.06,3.19,0,2.12,0,6.37,0,42.48,0,1.06,4.25,5.31,3.19,0,1.06,0,1.06,36.11,0,0,1.06,6.37,1.06,4.25,7.43,0,0
 96-106,0,0,8.74,1.09,33.88,2.19,6.56,6.56,3.28,20.76,45.9,0,1.09,0,2.19,2.19,29.51,0,80.87,2.19,1.09,8.74,24.04,0,3.28,5.46,0,1.09,46.99,1.09,1.09,0,4.37,1.09,2.19,14.21,1.09,0
108-118,0,0,6.13,0,36,0.77,9.19,7.66,2.3,19.92,35.23,0,0.77,0,2.3,0.77,33.7,0,58.98,2.3,3.06,2.3,15.32,1.53,0,6.89,0,0.77,22.98,0,0,0,2.3,0.77,1.53,16.09,1.53,0.77
120,0,0,3.92,1.96,43.12,0,0,3.92,3.92,11.76,54.87,0,1.96,0,1.96,0,31.36,0,45.08,0,3.92,0,9.8,1.96,0,9.8,0,3.92,31.36,0,0,0,3.92,1.96,1.96,3.92,0,0
