stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,heart,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,28.92,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,147.91,0,0,0,0,0,0,0,0,267.49,6.29,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,4,0,7,0,0,2,0,0,0,0,0,426,0,0,0,0,0,1,0,136,0,0,0
 24-34,0,0,2.46,0.82,4.1,0,0,3.28,0.82,0.82,0.82,0,1.64,334.09,0,0,0,0,0,0,0.82,44.33,0,0,0
 36-46,0,0,0,0,5.64,0.81,0,1.61,0,0,0,0,0,291.65,0,1.61,0,0,0,0,0,16.92,0,0,0
 48-58,0,0,0,0,6.31,0,0.57,1.72,0,0.57,2.87,0.57,0,171.57,0,2.87,0,0,0,0,0,14.92,0,0,0
 60-70,0,0,0,0,3.93,0,0,6.87,0,0,0.98,0,0,138.39,0,0.98,0,0,0.98,0,0,4.91,0,0.98,0
 72-82,0,0,2.94,0.98,10.8,0,0,13.74,0,0,0.98,0,0,125.65,0,4.91,0,0,0,0,0,10.8,0,0.98,0
 84-94,0,0,4.25,0,12.74,0,0,9.56,0,0,4.25,1.06,0,75.4,0,2.12,0,1.06,0,0,0,5.31,0,0,1.06
 96-106,0,0,0,0,7.65,0,0,5.46,0,0,2.19,1.09,0,61.2,0,3.28,0,0,0,0,0,9.84,0,1.09,0
108-118,0,0.77,0,0,4.6,0,0,7.66,0,0,0.77,0,0,91.15,0,0.77,0,0,0,0,0,6.13,0.77,0.77,0
120,0,0,1.96,0,1.96,0,0,0,0,0,1.96,0,0,74.47,0,0,0,0,0,0,0,3.92,0,0,0
