stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,190.02,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,24.52,0,0,0,0,0,0,0
  7-9,0,2.63,5.26,0,0,0,7.89,0,0,5.26,0,0,0,0,0,0,0,0,0,86.75,2.63,0,0,15.77,2.63,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,6.29,0,0,6.29,0,0,0,0,0,0,0,0,0,40.91,0,0,0,28.32,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,7,0,0,1,2,0,1,1,0,1,0,0,2,0,0,1,16,0,0,0,2,0,0,0,6,8,1,0,0
 24-34,0,0,0,0.82,0.82,0,4.1,0,0,0,0,0,0.82,0,0,0.82,0,0,0.82,10.67,0,0,0,0,0,0,0.82,0,2.46,0,0,0
 36-46,0,0,0,0.81,0.81,0,4.03,0,0,0,0,0,0,0,0.81,0,0,0,0,10.47,0,0,0,0,2.42,0.81,0,0,4.03,0,0,0
 48-58,0,0,0,0.57,0,0,7.46,1.15,0,0,0,0,0.57,0.57,0,1.72,0.57,0,2.3,6.89,0,0.57,1.72,0,1.72,0,0,0,1.15,0,0,0
 60-70,0,0,0,1.96,0,0,1.96,0,0.98,0,0,0.98,0,0,0,0.98,0,0.98,0,5.89,0,0.98,0.98,0,2.94,0.98,0,0,0.98,0,0,0
 72-82,0,0,0,3.93,4.91,0,23.56,5.89,0,0,0,0,0,0,0,7.85,0.98,0,0,20.61,0,0.98,0.98,0,0,0.98,0,0,2.94,1.96,0,0.98
 84-94,0,0,0,2.12,1.06,0,3.19,1.06,0,0,1.06,0,1.06,0,0,4.25,0,0,1.06,2.12,0,2.12,0,0,10.62,0,0,0,0,1.06,1.06,0
 96-106,0,0,0,3.28,7.65,0,4.37,2.19,0,0,0,0,1.09,0,0,2.19,0,0,0,4.37,0,0,2.19,0,13.11,0,0,0,0,1.09,0,0
108-118,0,0,0,0.77,0,0.77,0.77,0,1.53,0,0,0,0,0,0,2.3,0,0,0,4.6,0,1.53,1.53,0,5.36,0.77,0,0,0,0,0,0
120,0,0,0,3.92,1.96,0,1.96,0,0,0,0,1.96,1.96,0,1.96,3.92,0,0,1.96,3.92,0,0,1.96,0,9.8,0,0,0,0,1.96,0,0
