stage,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,immune,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,otic,pericytes,periderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,14.78,0,0,0.82,0,0.82,5.75,0,0,0,0,0
 36-46,0.81,0,0,0.81,0,0,0,0.81,0,0,0,0,0,0,1.61,57.2,0,0,0,0,0,4.03,0,0,0.81,0,0
 48-58,1.15,0,0,5.16,0.57,0,0.57,2.3,0,0,0,0,5.16,0,1.15,114.19,0.57,0,0.57,0,0,12.05,0,0,1.15,0,0
 60-70,2.94,0,0,12.76,0,0.98,0,2.94,0,0,0,0,3.93,0.98,0.98,231.64,1.96,0.98,0,0,0,23.56,0.98,0,0.98,0,0
 72-82,0,0.98,0,33.38,0,0,0,12.76,0,0,0,0,7.85,0,4.91,247.38,0.98,0,0.98,0.98,0,17.67,0,0.98,0,0,0.98
 84-94,2.12,1.06,0,22.3,0,0,0,7.43,1.06,0,1.06,1.06,5.31,0,2.12,113.64,1.06,0,0,0,0,7.43,0,0,1.06,0,0
 96-106,1.09,3.28,1.09,10.93,1.09,0,0,2.19,0,1.09,0,1.09,9.84,0,1.09,95.08,3.28,0,0,0,0,3.28,0,0,0,1.09,0
108-118,2.3,0.77,0,9.96,0,0,0,7.66,0.77,0,0,0,6.89,0,0,97.28,3.06,0,0,0.77,0,2.3,0,0,0.77,0,0
120,1.96,0,0,23.52,0,0,0,7.84,0,0,0,0,5.88,0,1.96,129.35,3.92,0,0,0,0,7.84,0,0,0,0,0
