stage,axial,blastomeres,endoderm,epidermis,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,196.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.91,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,10.51,0,0,18.4,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,115.66,2.63,0,0,63.09,2.63,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173.08,0,0,0,72.38,12.59,3.15,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,51,0,5,0,0,0,0,1,0,0,0,0,0,0,2,1,0,1,67,0,0,0,1,23,0,7,0,3,12,0,0,0,0,0
 24-34,0,0,0,6.57,0,0.82,0,0,0,0,0,0,0,0.82,0,0,0,2.46,0,0,0,47.61,0.82,0,0,0,120.67,0,0,0,0,9.85,0,0,0.82,0,0
 36-46,0,0,0,0,0,5.64,0,0.81,0,0,0.81,0,0.81,0.81,0,0,0.81,1.61,0.81,0.81,0,21.75,0.81,0,0,0,112.79,0,0,0,0,4.03,0,0,0,0,0.81
 48-58,0,0,0,2.3,0,5.16,0,0.57,0,1.15,0,0,0.57,0,0,0,0,3.44,0.57,0.57,0,14.35,0,0.57,0.57,0,60.25,0,0,0,0,2.87,0,0,0,0,0
 60-70,0,0,0,4.91,0,2.94,0,1.96,0,2.94,0,0,0,0,0,0.98,0,1.96,0,0,0,7.85,0,0,0,0,68.71,0,0,0,0,2.94,0,0,0,0,0
 72-82,0,0,0,7.85,0,7.85,0,0,0.98,5.89,0,0,0.98,3.93,0,0,0,4.91,0.98,0,0.98,17.67,0,0,0.98,0,98.17,0,0,0,0,1.96,0,1.96,0,0,0
 84-94,0,0,0,11.68,0,1.06,0,1.06,0,0,0,0,0,4.25,0,0,0,7.43,1.06,6.37,1.06,8.5,0,1.06,0,0,243.21,0,0,0,0,1.06,0,0,0,0,0
 96-106,0,0,0,19.67,0,0,1.09,1.09,1.09,0,2.19,0,0,5.46,0,0,0,2.19,1.09,1.09,0,10.93,0,2.19,1.09,0,227.31,0,0,0,0,0,1.09,0,0,4.37,0
108-118,0,0,0,16.09,0.77,3.06,0.77,3.06,0,0,1.53,0,0,3.06,0,0.77,0,6.89,3.83,4.6,0,18.38,0,0,0,0,136.34,0,0,0,0,0.77,0,0,0,0.77,0
120,0,0,0,19.6,0,1.96,0,5.88,0,1.96,0,0,0,0,1.96,0,0,1.96,1.96,0,0,5.88,0,0,0,0,111.71,0,0,0,0,0,0,0,1.96,3.92,0
