stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.42,0,0,0,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,1.15,0.57,0,0,0,0,0,0,0,0,6.89,0,0,0,0,0,1.72,0,0.57,1.72,0,0.57,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,6.87,0,0,0,0.98,0,0,0,0,0,27.48,0,0.98,0,0.98,0,11.78,0,0.98,2.94,0,0,0,0,0.98,0,0,0,0,0
 72-82,0,0.98,0,0,20.61,0,0,0.98,0.98,0.98,0.98,0,0,0,62.83,0,11.78,0,0,0,39.27,0,1.96,3.93,0,2.94,0.98,0,0.98,0,0.98,0.98,0,0
 84-94,0,1.06,5.31,0,8.5,0,0,1.06,3.19,0,0,1.06,0,0,101.96,1.06,2.12,0,1.06,0,19.12,0,2.12,4.25,0,4.25,0,0,0,1.06,0,2.12,0,1.06
 96-106,1.09,8.74,4.37,4.37,26.23,0,3.28,1.09,7.65,3.28,0,3.28,2.19,2.19,156.28,2.19,17.49,1.09,2.19,2.19,56.83,1.09,13.11,3.28,0,16.39,1.09,0,1.09,1.09,0,4.37,3.28,1.09
108-118,0,5.36,3.06,0.77,7.66,0,0.77,0,3.06,0,0.77,0.77,2.3,1.53,115.66,0.77,9.96,0.77,1.53,2.3,45.96,0,3.83,3.06,1.53,7.66,0,0.77,2.3,0.77,0,1.53,0,1.53
120,0,7.84,1.96,0,1.96,1.96,0,0,0,1.96,0,1.96,3.92,0,74.47,0,0,0,1.96,1.96,43.12,0,3.92,1.96,0,5.88,1.96,0,1.96,0,0,0,0,0
