stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,110.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,12.26,0,0,0,0,0,0
  7-9,2.63,0,5.26,0,7.89,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,70.98,0,0,28.92,0,0,0,0,0,0,0
 10-12,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.62,3.15,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,28,1,0,0,0,2,0,10,0,0,0
 24-34,0,0,0,0.82,1.64,0,0,0,0,0,0,0.82,0,0,0,5.75,0.82,0,0.82,33.66,0,0,0,0.82,0,0,9.03,2.46,0,0
 36-46,0,0,0,0,2.42,0,0,0,0,0,0,0,0,0,0,3.22,0,0,0,41.89,0.81,0,0,0.81,0,0,8.86,0.81,0,0
 48-58,0,0,0,1.72,11.48,0,0,1.15,0.57,0,0,0,0,0,0,5.16,0,0,0,28.69,0,0,0,0.57,0,0,8.03,0,0,0.57
 60-70,0,0,0,0,13.74,0.98,0.98,2.94,0,0,0,0,0,0,0,2.94,0,0,0.98,54.97,0,0,0,0,0,0.98,6.87,0.98,0,0
 72-82,0,0,0,0.98,12.76,0,0,1.96,0,0,0,0,0,0,0,8.83,0,0.98,0.98,34.36,0,0,0,0,0,0,4.91,0.98,0,0
 84-94,0,0,0,3.19,16.99,0,0,4.25,0,1.06,0,0,1.06,0,0,1.06,0,0,1.06,16.99,0,1.06,0,0,0,0,3.19,0,1.06,0
 96-106,0,0,0,0,7.65,0,1.09,1.09,0,0,0,1.09,1.09,1.09,0,5.46,0,1.09,0,21.86,0,2.19,0,3.28,0,0,0,0,0,0
108-118,0,0,0,0,9.96,0,0,3.83,0,0,0,0.77,0,0,0.77,2.3,0,0,0.77,19.92,0,0.77,0,0,0,0,0,0,0.77,0.77
120,0,0,0,0,3.92,0,0,1.96,1.96,0,1.96,1.96,0,0,0,3.92,0,0,3.92,15.68,0,0,0,1.96,0,1.96,0,1.96,0,0
