stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,1,0,1,1,0,11,0,0,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,174.02,0.82,4.1,1.64,0,0,0,0,0,54.18,0,0,0,0
 36-46,0,0.81,0,0.81,0,6.45,0,0,0,2.42,0,0,0,0,0,0,0,0,0,0.81,0,508.38,0,5.64,2.42,0,0.81,0,0.81,0,135.35,0,0,0,0
 48-58,0,0.57,0,1.72,0,63.69,0,1.15,0.57,16.64,0,0,0.57,0.57,0,0.57,0,0,0.57,4.02,0.57,690.29,0,4.02,1.15,0,0,0,0,0,152.63,0,0,0,1.72
 60-70,0,0,0,2.94,0,204.16,0,0.98,0,18.65,0.98,0,0.98,0,0,0,0,0,0,6.87,0.98,1108.14,0.98,4.91,2.94,0,0,0,0,1.96,203.18,0,0,0.98,0
 72-82,0,0.98,0,2.94,1.96,275.85,0.98,0,1.96,59.88,0,0,0,0,0,0,1.96,0.98,0,9.82,1.96,1009.15,0,1.96,4.91,0,1.96,0,0,0,97.18,1.96,2.94,1.96,0
 84-94,0,0,0,6.37,1.06,180.55,0,0,2.12,32.92,1.06,0,0,0,0,0,1.06,1.06,0,8.5,1.06,460.92,0,2.12,11.68,0,2.12,0,0,0,49.92,1.06,2.12,1.06,1.06
 96-106,0,0,0,5.46,3.28,172.67,0,1.09,0,32.79,0,0,0,0,0,0,3.28,0,0,8.74,0,393.42,2.19,6.56,12.02,0,0,0,0,0,31.69,4.37,0,1.09,0
108-118,0,0.77,0,5.36,0,106.47,2.3,0.77,0,25.28,1.53,0,0,0.77,0,0,2.3,0,0,3.83,0,430.47,1.53,0,9.19,0,2.3,0,0,0,17.62,2.3,2.3,0,0
120,0,1.96,0,1.96,0,84.27,1.96,0,0,21.56,0,0,0,0,1.96,0,5.88,0,0,9.8,1.96,403.72,1.96,1.96,3.92,0,0,0,0,0,27.44,3.92,1.96,0,0
