stage,endoderm,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,9.44,0,3.15,0,0,0,0,0,0,0,0,0,0,0,44.06,6.29,0,0,69.23,0,0,3.15,6.29,0,0,6.29,0,0,0,0,0
 14-21,1,5,0,0,0,0,5,0,0,0,0,7,0,9,85,2,0,0,2,0,1,2,0,0,10,65,0,0,0,0,0
 24-34,0,2.46,0,0,0,0,3.28,0,0,0,0,3.28,0,9.03,146.11,0,0,0,0,0,0,0,0,0,0,85.37,0,0,2.46,0,0
 36-46,0,2.42,0.81,0,0.81,0,2.42,0,0,0,0,12.89,0,6.45,308.57,0,0,0,0,0,0.81,0,0.81,0,0,173.22,0,0,1.61,0,0.81
 48-58,0,1.15,10.33,0,0,1.15,4.02,0,0,0,0.57,17.79,1.72,3.44,312.72,0,0,0,0,0.57,0,0,0,0,0,99.27,0,0,0,0,0
 60-70,0,0,5.89,0.98,0.98,0,6.87,0,0,0,0,19.63,0,3.93,278.75,0,0.98,0,0,0,0,0,0,0.98,0,73.61,0,2.94,0,0,0
 72-82,0,3.93,7.85,0,0,0.98,5.89,0,0,0.98,0,16.69,1.96,5.89,152.16,0,0,0,0,0,0,0,0,0,0,19.63,0,0.98,2.94,1.96,0
 84-94,0,3.19,5.31,2.12,0,0,5.31,1.06,0,0,0,12.74,1.06,4.25,66.91,0,0,1.06,0,0,1.06,0,0,0,0,11.68,0,1.06,4.25,2.12,0
 96-106,0,2.19,0,1.09,0,0,2.19,0,0,0,0,6.56,0,4.37,43.71,0,0,0,0,0,0,0,0,0,0,4.37,1.09,2.19,1.09,3.28,0
108-118,0,2.3,3.06,0,0,0,5.36,2.3,0.77,0,0,16.09,0,1.53,61.28,0,0,0,0,1.53,0,0,0,0,0,1.53,0.77,0,0,1.53,0
120,0,1.96,3.92,0,0,0,5.88,0,0,0,0,11.76,0,0,52.91,0,0,0,0,1.96,0,0,0,0,0,3.92,0,0,1.96,0,0
