stage,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,1,5,0,1,0,0,0,3,2,0,0,0,0,1,0,6,0,0,3,36,0,0,1,1,0,0,1,0,0,1,16,0,1,0
 24-34,0,8.21,0.82,2.46,0,1.64,0,0.82,0,0,0,0,0,0,0,19.7,0,0,11.49,28.73,0,0,0,0.82,0,0,0,0.82,0,0,11.49,0,2.46,0
 36-46,0,8.86,0,0.81,0,0.81,0,3.22,0,3.22,0,0,0,0,0,39.48,0.81,0.81,12.89,25.78,0,0.81,0,0,0,0,0,1.61,0,0,8.06,0,0,0
 48-58,0,4.59,0,6.31,0,1.15,0.57,1.72,0,1.15,1.15,0,0,0,0,68.86,0,0.57,7.46,8.03,0,0,0,0,0,1.72,0,0,0.57,0,2.87,0.57,4.02,0
 60-70,0,7.85,0,2.94,0,2.94,0.98,0.98,0,0.98,3.93,0,0,0,0,71.65,0,3.93,9.82,7.85,0,0,0,0,0,2.94,0,0,0.98,0,1.96,5.89,1.96,0
 72-82,0,6.87,0,14.72,0.98,0.98,3.93,5.89,0,2.94,2.94,0.98,0,0,0.98,124.67,0,3.93,15.71,14.72,0,0.98,0,0,0.98,3.93,0,0,0,0,0,3.93,10.8,6.87
 84-94,0,15.93,0,14.87,0,6.37,1.06,4.25,3.19,1.06,9.56,0,1.06,0,1.06,71.16,0,7.43,9.56,5.31,0,0,1.06,0,2.12,6.37,0,1.06,0,0,1.06,4.25,8.5,4.25
 96-106,0,12.02,0,7.65,0,4.37,2.19,0,1.09,4.37,7.65,0,1.09,3.28,0,99.45,0,3.28,6.56,8.74,1.09,0,0,0,0,2.19,0,1.09,0,0,4.37,5.46,7.65,5.46
108-118,0,17.62,0.77,10.72,0,5.36,2.3,4.6,0,3.83,9.96,0.77,0,0,0,88.09,0,6.13,4.6,13.79,0,0,2.3,0,3.06,1.53,0,0.77,0,0,0,3.06,7.66,4.6
120,0,11.76,0,3.92,0,0,7.84,7.84,1.96,0,5.88,0,0,0,0,66.63,1.96,5.88,1.96,25.48,0,0,0,0,0,0,0,0,0,0,1.96,5.88,5.88,1.96
