stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,11,0,0,0,0,2,1,2,4,0,1,0,0
 24-34,0,0.82,0,1.64,0,8.21,0,1.64,0,0.82,0,0,0,0.82,0,9.03,0,0,0.82,56.64,0,0.82,0,2.46,0,0,0.82,9.85,0,0.82,0,0
 36-46,0,0,0,0,0,4.83,0,0.81,0,0,0,0,0,0,0.81,1.61,0,0,0.81,24.98,0.81,0,0.81,0.81,0,0,0,7.25,0,0.81,0.81,0
 48-58,0,0,0,0,0,16.07,0.57,2.3,0,0,0,0,0,0,0,4.59,0,0.57,1.15,22.95,0,0.57,0,0.57,0,0,0,4.59,0,0,0,0.57
 60-70,0,0,0,0,0,9.82,0,0,1.96,0,0,0,0,0,0,2.94,0,0,1.96,31.41,0,0,0.98,0.98,0,0,0,1.96,0,1.96,0,0
 72-82,0,0.98,0,4.91,0,24.54,0.98,5.89,1.96,0,0.98,0,0,0,0,12.76,0.98,0,1.96,60.86,0,0,1.96,1.96,0,0,0,2.94,0.98,0,0,0
 84-94,0,0,0,0,0,8.5,0,1.06,1.06,0,1.06,0,0,0,0,4.25,0,1.06,1.06,9.56,0,0,1.06,3.19,0,0,0,0,0,1.06,0,0
 96-106,0,0,0,0,0,9.84,1.09,4.37,0,0,2.19,1.09,0,0,0,7.65,0,0,3.28,30.6,0,0,1.09,2.19,0,1.09,0,2.19,0,2.19,0,0
108-118,0,0.77,0,0,0,5.36,0,0.77,0,0,0,0,0.77,0,0,2.3,0,0,0,6.89,0,0.77,0,0.77,0,0,0,0,0,0,0.77,0
120,0,0,0,5.88,0,3.92,0,1.96,0,0,0,0,0,0,0,0,0,0,0,3.92,0,1.96,0,0,0,0,0,0,3.92,0,0,0
