stage,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,otic,periderm,presomitic_mesoderm,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,2,0,4,0,0,0,0
 24-34,0,0,10.67,0,0,0.82,0,0,0,0,0,0,0,4.93,0.82,34.48,0,0,0,0,0,4.93,0,0.82,0,0
 36-46,0,0,1.61,0.81,0,0.81,0,0,0,0,0,0,0,3.22,0,20.95,0,0.81,0.81,0,0,4.03,0,0,0,0
 48-58,0,0.57,2.3,0.57,0,1.72,0,0,0,0,0,0,0,1.72,1.15,7.46,0.57,0,0.57,0,0,1.15,0,1.15,0,0
 60-70,0,0.98,3.93,0.98,0,3.93,0,0,0,0,0,0,0.98,2.94,0.98,8.83,0,1.96,0,0,0,1.96,0,0,0,0
 72-82,0,0,1.96,0,0,4.91,0,0,0,0,0,0,0,11.78,0,8.83,0,0.98,0,0,0,0,0.98,0,0,0
 84-94,0,0,4.25,0,0,5.31,0,2.12,1.06,1.06,0,0,0,3.19,0,3.19,0,0,0,0,1.06,0,0,0,0,0
 96-106,0,2.19,3.28,0,1.09,5.46,0,0,0,0,1.09,0,0,6.56,0,1.09,0,0,1.09,0,0,0,0,0,0,1.09
108-118,0,1.53,2.3,0,1.53,3.06,0.77,2.3,0.77,0,0,0.77,0,5.36,0,6.89,0,0,2.3,0,0.77,0,0,0.77,0.77,0
120,1.96,1.96,1.96,3.92,1.96,13.72,0,0,0,0,0,0,0,17.64,1.96,17.64,0,1.96,3.92,0,0,5.88,0,0,0,0
