stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,0,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.29,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.35,3.15,0,0,37.76,0,3.15,91.26,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,4,56,478,0,26,0,0,0,4,2,6,35,12,0,0,14,4,53,1,0,52,285,2,0,17,2,6,210,81,13,2232,103,0,0,114,0,0
 24-34,0,0,1.64,0.82,17.24,33.66,0,18.06,0,0,0,3.28,0.82,5.75,81.26,32.01,0,0,21.34,2.46,27.09,1.64,0,25.45,155.14,0.82,0,0.82,0.82,1.64,3.28,46.79,0.82,432.59,94.4,0,0,307.82,0,0
 36-46,0,0,0,0,1.61,6.45,0,12.89,0.81,0,0,3.22,0.81,4.03,99.9,18.53,0,0,5.64,0.81,25.78,1.61,0,10.47,116.02,1.61,0.81,0,0,1.61,0,12.89,0,7.25,91.85,0,0,145.83,0,0.81
 48-58,0,0,0,0,1.15,0.57,0,26.97,0.57,0,0,3.44,0,8.03,84.35,10.9,0.57,0,5.16,0.57,20.66,2.3,1.15,4.02,86.64,0.57,0.57,0,0,1.15,0,3.44,0,0,48.2,0,0,87.22,0,0
 60-70,0,0,0,0,2.94,0.98,0,38.28,0.98,0,0,7.85,0,3.93,119.75,20.61,0,0.98,1.96,0,18.65,0,0,1.96,87.36,0.98,0,0.98,0,0.98,0,4.91,0,0,22.58,0,0,76.56,0,0
 72-82,0,0,0.98,0,2.94,2.94,0,33.38,1.96,0,3.93,16.69,2.94,9.82,158.05,28.47,0.98,0,1.96,0,35.34,1.96,0,1.96,60.86,0.98,0,1.96,0,0,0,9.82,0,0,20.61,0.98,0,100.13,0,0
 84-94,0,0,0,0,12.74,4.25,0,27.61,0,2.12,2.12,6.37,7.43,3.19,201.79,56.29,0,1.06,3.19,0,12.74,2.12,1.06,3.19,30.8,1.06,3.19,1.06,0,0,0,7.43,0,0,3.19,0,0,86.03,0,2.12
 96-106,0,0,1.09,0,25.14,4.37,2.19,26.23,0,2.19,0,14.21,12.02,5.46,234.96,65.57,1.09,13.11,2.19,0,22.95,1.09,3.28,1.09,57.92,0,9.84,5.46,0,3.28,0,16.39,0,0,2.19,0,0,123.49,3.28,0
108-118,0,0,0,0,17.62,1.53,6.13,26.81,0,2.3,0.77,16.09,22.98,4.6,190.72,79.66,1.53,9.19,0,0,17.62,4.6,0.77,1.53,63.57,0.77,6.89,4.6,0,1.53,0,11.49,0,0,3.06,2.3,1.53,104.94,0.77,0
120,0,0,0,0,15.68,3.92,0,11.76,0,3.92,0,13.72,23.52,0,270.45,39.2,0,3.92,0,0,7.84,0,1.96,1.96,43.12,0,1.96,0,0,1.96,0,1.96,0,0,1.96,0,0,66.63,0,0
