stage,epidermis,exocrine.pancreas,eye,glial,gut,mesenchyme,neural,olfactory,otic,periderm,somites,spinal.cord,vasculature,xanthophores
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,0,0
 24-34,0,0,0,0,0,0,6.57,0.82,1.64,0,0.82,0.82,0,0
 36-46,0,0,0,1.61,0,0,9.67,0,0,0,0,4.03,0,0
 48-58,0,0,2.3,0,0,0,10.33,0,0.57,0,0,1.72,0,0.57
 60-70,0,0,7.85,0,0,0.98,15.7,0,0,0,0,1.96,0,0
 72-82,0.98,0,41.23,1.96,0,0.98,61.84,0.98,0.98,0,0,0,0,0
 84-94,1.06,0,19.12,2.12,0,0,14.87,1.06,0,0,0,3.19,0,0
 96-106,1.09,0,20.76,3.28,1.09,1.09,29.51,2.19,0,0,0,1.09,0,0
108-118,0,0.77,28.34,0.77,0,0,34.47,3.06,0,0.77,0,1.53,0,0
120,0,0,27.44,1.96,0,0,33.32,0,0,0,0,1.96,1.96,0
