stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,7,1,0,0,0,0,0,1,1,1,14,0,0,1,0,0
 24-34,0,0,4.1,0,1.64,0,0,0,4.93,0,0,0,0,0,0.82,0,0,3.28,0,0,0.82,61.56,1.64,0,0,0,0.82,9.85,0,0.82,0,41.04,0,0,1.64,0,0
 36-46,0,0,0,0.81,7.25,0,0.81,0,4.83,0,0.81,0,0,0,0,0,0,8.06,0,0.81,3.22,110.38,0.81,2.42,0,0,0,9.67,0,0,0,54.79,0,0,5.64,0,0.81
 48-58,0,0,0.57,0,25.25,0,0.57,0,4.02,0,0,0.57,0,0,0,0.57,1.15,17.21,0,0,3.44,144.6,0,0.57,2.3,0,0.57,5.16,0,0.57,0,40.17,0,0,5.16,0,0
 60-70,0,0,0,0,100.12,1.96,0.98,0.98,23.56,0,0.98,0.98,0,0,0,0,0.98,37.3,0,6.87,5.89,316.05,0,0.98,0.98,0,0,5.89,0,0,0,50.06,0,0.98,10.8,3.93,0.98
 72-82,0,0,2.94,0,165.9,0,0.98,0.98,46.14,0.98,0,0.98,0,1.96,1.96,0.98,0.98,49.08,0,2.94,3.93,399.54,0,1.96,0.98,0,0,0.98,0,0.98,0,45.16,0,3.93,13.74,1.96,0.98
 84-94,0,0,2.12,0,113.64,1.06,1.06,0,37.17,0,0,1.06,0,0,1.06,0,2.12,24.43,0,1.06,4.25,198.6,0,2.12,0,0,0,6.37,0,0,0,25.49,0,1.06,16.99,5.31,1.06
 96-106,1.09,0,3.28,1.09,89.61,0,1.09,0,40.44,0,0,0,1.09,0,3.28,2.19,0,20.76,1.09,2.19,1.09,218.57,0,0,1.09,0,2.19,2.19,0,0,0,18.58,0,0,21.86,6.56,0
108-118,0,0,5.36,0,60.51,0.77,2.3,0.77,16.85,0.77,0,0,0.77,0.77,0,0,1.53,16.09,0.77,1.53,2.3,196.85,0.77,0.77,1.53,0,4.6,3.83,0,0,0,12.26,0.77,1.53,13.79,2.3,0
120,0,0,5.88,0,50.95,0,3.92,0,15.68,0,0,1.96,0,0,1.96,1.96,0,15.68,1.96,1.96,0,197.94,0,0,1.96,0,0,3.92,0,1.96,0,13.72,0,0,13.72,9.8,0
