stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,131.78,2464.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.78,0,0,0,0,0,0,0,0,0,0
  5-6,61.3,1244.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.78,0,0,0,6.13,0,18.39,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,5.26,0,0,0,5.26,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,63.09,7.89,0,0,47.32,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,22.03,0,3.15,0,9.44,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,154.2,6.29,0,0,88.12,0,3.15,0,0,3.15,3.15,3.15,0,0,0,0,0
 14-21,0,0,1,4,60,9,0,17,0,0,0,9,4,0,2,0,4,0,0,0,17,27,0,0,26,258,6,2,4,4,0,6,0,31,4,55,117,0,0,7,0,10
 24-34,0,0,0,0,45.15,0.82,0,35.3,0,8.21,3.28,13.13,0.82,0.82,1.64,0,6.57,2.46,2.46,0.82,38.58,54.18,0,0.82,35.3,506.47,4.1,18.06,13.95,0,0,85.37,0,0.82,3.28,9.85,201.93,0,0,13.13,0,20.52
 36-46,0,0,0.81,0,21.75,0,0,40.28,1.61,2.42,3.22,31.42,3.22,0,1.61,0.81,3.22,3.22,2.42,0,11.28,78.96,0,2.42,12.89,420.56,4.83,12.89,7.25,0,0,85.4,0,0,0,0,158.72,0,0,4.83,0,10.47
 48-58,0.57,0,0.57,0,14.35,1.72,0,139.43,0.57,6.89,6.89,36.15,1.15,0,1.15,0,0.57,2.87,4.02,0.57,9.75,95.83,1.72,1.72,26.97,255.92,0.57,8.61,10.33,0,0.57,53.94,0,0,0.57,0,86.64,0,0.57,6.89,0,9.75
 60-70,0,0,0,0,30.43,0,0,492.72,2.94,4.91,5.89,61.84,0.98,0.98,0,0.98,1.96,9.82,7.85,1.96,4.91,135.45,2.94,3.93,13.74,295.44,3.93,15.7,16.69,0,2.94,51.04,0,0,0.98,0,43.19,0.98,4.91,11.78,0,4.91
 72-82,0,0,0,0,31.41,3.93,0,834.41,1.96,2.94,7.85,112.89,6.87,0,0.98,0,4.91,10.8,9.82,0,3.93,186.52,2.94,3.93,23.56,408.37,2.94,17.67,41.23,0,1.96,36.32,0,0,0,0,37.3,2.94,7.85,14.72,4.91,10.8
 84-94,0,0,3.19,0,67.97,0,0,452.43,0,9.56,6.37,75.4,5.31,1.06,1.06,1.06,7.43,24.43,6.37,3.19,6.37,135.94,2.12,8.5,8.5,232.59,3.19,13.81,53.1,0,1.06,142.31,0,0,3.19,0,25.49,4.25,4.25,11.68,4.25,8.5
 96-106,0,0,1.09,1.09,69.94,2.19,0,419.65,1.09,7.65,4.37,92.89,8.74,0,3.28,2.19,6.56,29.51,22.95,2.19,6.56,104.91,4.37,1.09,16.39,221.85,3.28,15.3,65.57,0,3.28,118.03,1.09,0,4.37,0,30.6,4.37,3.28,8.74,3.28,5.46
108-118,0,0,0,0,58.98,3.83,1.53,336.26,0,10.72,3.83,82.72,5.36,0,0,2.3,7.66,42.13,10.72,3.06,3.83,87.32,1.53,5.36,9.96,256.6,2.3,11.49,58.21,0,0,85.79,0,0,3.06,0,9.96,14.55,2.3,8.43,3.06,5.36
120,0,0,0,0,62.71,3.92,0,244.97,1.96,19.6,3.92,82.31,13.72,0,0,0,9.8,19.6,15.68,1.96,1.96,47.03,3.92,0,1.96,241.05,0,17.64,43.12,0,0,50.95,0,0,7.84,0,19.6,0,5.88,7.84,1.96,1.96
