stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.92,2.63,0,18.4,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,12.59,0,12.59,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,6,1,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,1,0,1,1,2,0,0
 24-34,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,5.75,0,0,3.28,2.46,0,0,0,0.82,0,0,0,0,0,0,0.82,0,0.82
 36-46,0,0,0,0,0,0,0,3.22,0,0,0,0.81,0,0,0,0,0,4.03,0,0,0.81,0.81,0,0,0,0,0.81,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,1.72,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0.57,0.57,0,0,0,0.57,0,0,0,0,0,0.57,0,0.57
 60-70,0,0,0,0,0,0,0,153.12,0,0,0,0,0,0,0,0,0,1.96,0,0,0,1.96,0,0,0,0,2.94,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,2.94,0,0.98,718.58,0,0,0,2.94,0,0,0,0.98,0.98,4.91,0.98,0,0.98,9.82,0,0,0,0.98,0.98,0,0,0,0,0,1.96,0,0.98
 84-94,0,0,0,0,8.5,0,0,790.16,0,0,0,0,0,2.12,1.06,0,0,3.19,1.06,1.06,1.06,8.5,1.06,0,0,0,1.06,0,0,0,0,0,0,0,2.12
 96-106,0,0,0,0,3.28,1.09,0,643.69,2.19,0,0,3.28,0,1.09,1.09,0,0,5.46,0,1.09,0,16.39,0,1.09,0,0,1.09,0,0,0,1.09,0,1.09,0,1.09
108-118,0,0,0.77,0,4.6,2.3,0,464.94,0,0,0.77,2.3,0.77,0,0,0,0,3.83,0,0.77,0.77,14.55,0,0,0,0,2.3,0,0,0.77,0,0,0,0.77,0
120,0,0,0,0,9.8,0,0,546.78,0,1.96,0,3.92,0,0,0,0,0,5.88,0,0,1.96,19.6,1.96,0,0,0,0,0,0,0,0,0,1.96,0,1.96
