stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching_gland,immune,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,184.49,975.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.78,0,0,0,0,0,0,0
  5-6,484.24,1311.74,0,24.52,0,0,0,0,0,30.65,0,0,0,0,0,0,288.09,30.65,0,0,85.81,128.72,0,0,0,0,0,0,0
  7-9,228.7,31.54,0,181.38,0,0,2.63,0,0,86.75,0,0,0,0,0,0,268.13,207.67,0,0,975.25,2.63,0,0,0,0,0,0,0
 10-12,0,25.18,0,53.5,0,0,3.15,0,0,9.44,0,0,0,0,0,0,100.7,100.7,0,0,409.11,6.29,3.15,28.32,0,3.15,0,0,0
 14-21,0,0,0,9,26,27,0,1,7,3,0,0,3,32,0,26,18,80,0,1,17,6,67,10,20,92,17,2,0
 24-34,0,0,0.82,0,0.82,0,0,0,0,0,0,0.82,0.82,4.1,0,0,8.21,0,0.82,0.82,0,1.64,0,0,0,0,0.82,1.64,0
 36-46,0,0,0,0,0,0,3.22,0,0,0,0,0,0,4.83,0,1.61,14.5,0.81,0,0,0,0.81,0,0,0,0,2.42,0,0
 48-58,0,0,0,0,0,0,3.44,0,0,0,0,0,0,4.59,0,1.15,9.18,0,0,0,0,0,0,0,0,0,2.87,0,0.57
 60-70,0,0,0,0,1.96,0,4.91,0.98,0,0,0,0,0,3.93,0.98,0,6.87,0,0.98,0.98,0,0.98,0,0,0,0,0.98,0,0
 72-82,0,0,0,0,0,0,4.91,0.98,0,0,0.98,0,0,3.93,0.98,0,8.83,0,0,1.96,0,0,0,0,0,0,0.98,0,0
 84-94,0,0,0,0,1.06,0,2.12,2.12,0,0,0,0,0,2.12,0,0,3.19,0,0,0,0,4.25,0,1.06,0,0,1.06,0,0
 96-106,0,0,0,0,0,0,2.19,1.09,0,0,0,0,0,3.28,0,1.09,3.28,0,0,2.19,0,0,0,0,0,0,0,1.09,0
108-118,0,0,0,0,0,0,1.53,0.77,0,0,0,0,0,3.06,0,0,0.77,0,0,0.77,0,0.77,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,3.92,0,1.96,0,0,1.96,0,0,0,0,0,0,0
