stage,blastomeres,epidermis,eye,fast.muscle,glial,gut,mesenchyme,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,periderm,slow.muscle,somites,spinal.cord,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,6.29,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0
 24-34,0,0,0,0,0,0,0,0,0,10.67,0,0,0,0,0,0.82,0
 36-46,0,0,1.61,0,0.81,0,0.81,0,0,9.67,0,0,0,0,0,0.81,0
 48-58,0,0,2.3,0,0,0,0.57,0,0.57,12.05,0,0,0,0,0,2.3,0
 60-70,0,0,2.94,0.98,0.98,0,0.98,0,0,12.76,0,0,0,0,0,0,0.98
 72-82,0,0,3.93,0,0,0,0,0,0,4.91,0,0,0,0,0,0,0
 84-94,0,0,0,1.06,0,0,0,0,0,2.12,0,0,1.06,0,0,0,0
 96-106,0,1.09,3.28,1.09,0,0,1.09,0,0,7.65,1.09,0,0,1.09,0,0,0
108-118,0,0,2.3,0.77,0,0,2.3,0.77,0.77,2.3,0,0,0,0,0,0,0
120,0,0,0,1.96,0,1.96,0,0,1.96,3.92,0,0,0,0,0,0,0
