stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,1,0,11,5,1,0,23,0,0,0,0,3,1,34,2,4,6,1,1,1,2,33,1,79,0
 24-34,0.82,0,1.64,0,1.64,0,19.7,0,0,2.46,0,0,0.82,19.7,1.64,4.93,6.57,0,0,0,0,3.28,1.64,39.4,0.82
 36-46,0,0,0.81,0,2.42,0,8.86,0.81,0,1.61,0.81,1.61,0,22.56,0,2.42,3.22,0,0,0,0,2.42,0,30.62,0
 48-58,0,0,0.57,0,2.87,0,18.94,0,0,0,0,1.15,0,11.48,0,1.72,0,0,0,0,0,0.57,0,20.66,0
 60-70,0,0,0,0,2.94,0,10.8,0,0,0.98,0.98,0.98,0,2.94,0,0.98,0,0,0,0,0,1.96,0,15.7,0
 72-82,0,0,0,0,2.94,0,21.6,0.98,0,0.98,0,2.94,0,8.83,0,0.98,3.93,0,0,0,0,0.98,0,9.82,0
 84-94,1.06,1.06,0,0,3.19,0,20.18,2.12,0,0,0,1.06,0,7.43,0,2.12,5.31,0,0,0,0,2.12,0,10.62,0
 96-106,1.09,0,0,0,2.19,1.09,20.76,0,0,0,0,2.19,1.09,7.65,0,1.09,5.46,0,0,0,0,2.19,0,13.11,0
108-118,1.53,0,0,0,2.3,0,11.49,0.77,0,0,0,0,0,5.36,0,3.06,2.3,0,0.77,0,0,0.77,0,8.43,0
120,1.96,0,0,0,1.96,0,1.96,0,0,1.96,0,0,0,3.92,0,1.96,0,0,0,0,0,0,0,3.92,0
