stage,epidermis,eye,fast.muscle,fin.mesenchyme,glial,immune,ionocyte,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vasculature
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,5.26,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,9.44,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0
 24-34,0.82,0,0,0,0,0,0.82,0,0,0,9.85,0,0,0,0,0,0,0,0.82,0
 36-46,0,0,0,0,0.81,0,0,2.42,0,0,24.17,0,0,0,0,0.81,0,0,4.83,0.81
 48-58,0,1.72,0.57,0,0.57,0,0,0.57,0,0.57,17.79,0,0.57,0,0,0,0,0,3.44,0.57
 60-70,0,7.85,0,0,1.96,0.98,0,0.98,0.98,0,13.74,0.98,0,0,0,0,0,0,0,0
 72-82,0,14.72,0,0,0.98,0,0,0,0,0,7.85,0,0,0,0,0,0,0,0,0
 84-94,0,10.62,0,0,0,0,0,0,0,0,5.31,0,0,1.06,0,0,1.06,0,1.06,0
 96-106,0,5.46,0,0,0,0,0,1.09,0,0,3.28,0,0,0,0,0,0,0,0,1.09
108-118,0,0.77,0,0.77,0,0,0,0,0,0,6.13,0,0.77,0,0,0,0,0,0,0
120,1.96,0,0,0,0,0,0,0,0,0,7.84,0,0,0,0,1.96,0,0,0,0
