stage,axial,blastomeres,epidermis,eye,fin.epithelia,glial,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,2,8,0,0,0,0,0,1,0,17,14,0,3,33,1,0,0,1,1,3,12,0,5
 24-34,0,0,0,2.46,0,0,0,0,0,0.82,0,12.31,6.57,0,0,21.34,0,0,0,1.64,0,0,2.46,0,8.21
 36-46,0,0,0.81,1.61,0,0,0,0,0,0.81,0,7.25,4.03,0,0,9.67,0,0,0,4.83,0,0,0,0,1.61
 48-58,0,0,0,0,0,0,0,0,0,0.57,0,2.3,0,0,0,5.74,0,0,0,2.87,0,0,0,0,0
 60-70,0,0,1.96,0,0,0,0,0,0,0,0,0.98,1.96,0.98,0,0,0,0,0,12.76,0,0,0.98,0.98,0
 72-82,0,0,0.98,0,0,0.98,0,0,0,1.96,0.98,0,2.94,0,0,3.93,0,0,0,12.76,0,0,0,0,0
 84-94,0,0,1.06,0,0,0,0,0,0,1.06,0,2.12,1.06,0,0,0,0,0,0,13.81,0,0,0,0,0
 96-106,0,0,0,1.09,1.09,1.09,0,1.09,0,1.09,0,0,0,0,0,1.09,0,1.09,0,30.6,0,0,0,0,0
108-118,0,0,2.3,0.77,1.53,0,0.77,0.77,0.77,1.53,0,0,0.77,0,0,0,0,0,0,31.4,0,0,0,0,0
120,0,0,9.8,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.28,0,0,0,0,0
