stage,blastomeres,endocrine.pancreas,epidermis,eye,glial,gut,immune,lateral.line,melanocytes,mesenchyme,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,10,1,8,0,0,0,0,2,9,1,2,3,1,0,1,4,28,0,0
 24-34,0,0,1.64,0.82,9.85,0,0,0.82,0,0.82,4.93,0,6.57,5.75,0,0,0,4.1,27.91,0,0
 36-46,0,0,0,0,2.42,0,0,2.42,0,0.81,15.31,0,3.22,0.81,0,0,0,1.61,12.09,0,0
 48-58,0,0,0,0.57,6.31,0,0,1.72,0.57,0,4.02,0,3.44,0.57,0,0,0,1.15,4.02,0,0
 60-70,0,0,0.98,0,4.91,0,0,0,0,2.94,2.94,0,10.8,3.93,0,0,0,2.94,8.83,0,0
 72-82,0,0.98,0.98,0,1.96,2.94,0,0.98,0,0.98,2.94,0,6.87,7.85,0,0,0,0,2.94,0.98,0
 84-94,0,0,3.19,0,2.12,0,0,2.12,0,0,0,0,5.31,6.37,0,0,0,1.06,5.31,0,1.06
 96-106,0,0,1.09,0,4.37,0,0,12.02,0,1.09,4.37,0,12.02,13.11,0,1.09,0,1.09,3.28,0,0
108-118,0,0.77,0,0.77,1.53,1.53,0,3.83,0,0.77,3.06,0,8.43,14.55,0,0,0,0,2.3,0.77,0
120,0,1.96,0,3.92,1.96,0,1.96,7.84,0,0,3.92,0,5.88,5.88,0,0,0,0,0,0,0
