stage,blastomeres,epidermis,erythrocytes,eye,glial,immune,ionocyte,iridophores,mesenchyme,neural,olfactory,presomitic.mesoderm,pronephros,spinal.cord
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,1,0,1,0,1
 24-34,0,0,0,0,0,0,0,0,0.82,4.93,0.82,0,0,2.46
 36-46,0,0,0,0,0,0,0,0,0.81,2.42,0,0,0,0.81
 48-58,0,0,0,1.15,0,0,0,0,0,2.87,0,0,0,0.57
 60-70,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0
 72-82,0,0,0.98,0,0,0,0,0.98,0,0.98,0,0,0,0.98
 84-94,0,0,0,0,0,1.06,0,0,0,0,0,0,0,1.06
 96-106,0,0,0,1.09,0,0,1.09,0,0,1.09,0,0,0,0
108-118,0,0,0,0,0,0,0,1.53,0,0.77,0,0,0,0
120,0,1.96,1.96,0,0,0,0,0,0,0,0,0,1.96,0
