stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,67,2,3,0,0,0,0,13,0,0,70,5,0,1,0,0
 24-34,0,0,0,3.28,1.64,0,1.64,39.4,0.82,0,0,0.82,0,0,0,0,0,46.79,0,0,43.51,25.45,0.82,0,0,0,0.82,0,0,5.75,51.71,9.03,0,9.85,0,0
 36-46,0,0,0.81,0,7.25,0,16.92,109.57,2.42,0,0,0.81,0,0,0,0,0.81,84.6,0,0,74.12,33.84,0,0,0,0,1.61,0.81,0,12.09,1.61,3.22,0,9.67,0,0
 48-58,0,0,1.15,0,11.48,0,17.79,146.32,4.59,0,1.72,0,0,1.15,0,0,0,108.45,0,1.72,53.36,26.4,0,0,0,0,1.15,0,0,1.72,0,2.87,1.15,5.74,2.3,0
 60-70,0,0,1.96,0,6.87,0,13.74,173.73,8.83,0,0.98,0,0,0,0,0,0.98,130.54,0,0.98,24.54,17.67,0,0.98,0,6.87,0,0,0,0,0,3.93,2.94,0,2.94,0.98
 72-82,0,0,2.94,0,37.3,0,8.83,256.21,20.61,2.94,0.98,0,0,0,0.98,0,0.98,213.02,0.98,7.85,33.38,21.6,0,0,0,9.82,0.98,0,0,0,0,1.96,4.91,6.87,7.85,0.98
 84-94,0,0,2.12,0,46.73,0,16.99,185.86,18.05,2.12,1.06,0,1.06,3.19,1.06,1.06,0,148.69,1.06,9.56,13.81,18.05,0,0,0,10.62,1.06,0,0,0,0,4.25,2.12,1.06,7.43,0
 96-106,0,1.09,3.28,2.19,34.97,2.19,10.93,166.11,15.3,0,0,2.19,1.09,0,0,1.09,0,202.18,0,15.3,12.02,26.23,0,0,1.09,24.04,3.28,0,1.09,0,0,2.19,6.56,3.28,7.65,0
108-118,0,0,1.53,0.77,21.45,0,7.66,160.85,12.26,0.77,3.83,1.53,0.77,0,0,0,0,183.07,0,9.96,16.85,20.68,0.77,0.77,0,22.98,0.77,0,0,0,0,0.77,1.53,0,3.06,0
120,0,0,1.96,0,11.76,0,9.8,162.66,9.8,0,3.92,1.96,0,0,0,5.88,0,168.54,0,5.88,9.8,15.68,0,0,1.96,25.48,1.96,0,0,0,0,1.96,3.92,1.96,1.96,0
