stage,blastomeres,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,heart,immune,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,visceral.smooth.muscle
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,7.89,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
 24-34,0,0,0,0,1.64,0,0,0,2.46,0,0,0.82,0,0,0,0,0,0,0,0.82,0,0
 36-46,0,0,0.81,0,0.81,0,1.61,0,20.95,0,4.83,2.42,0,0,0,0,0,0,0,0.81,0,0
 48-58,0,0,0,0,7.46,0,0,0,37.87,0.57,1.72,2.3,0,0,0,0,0,0,0,0.57,0,0
 60-70,0,0,0.98,0,9.82,0,0,0,83.43,0.98,6.87,4.91,0,0,0,0,0,0,0,0,0,0.98
 72-82,0,2.94,5.89,0,22.58,2.94,0,0,108.96,0.98,6.87,8.83,0,0,0,0,0,0,0,0,3.93,0
 84-94,0,1.06,15.93,0,19.12,1.06,0,1.06,90.27,3.19,7.43,1.06,0,0,0,0,0,1.06,0,0,2.12,1.06
 96-106,0,2.19,9.84,0,9.84,0,0,0,89.61,2.19,6.56,10.93,0,1.09,0,1.09,1.09,1.09,0,0,4.37,2.19
108-118,0,0.77,3.06,1.53,9.19,0,1.53,0,95.75,2.3,3.83,6.13,0,0,0,0,0,0,0,0,3.06,0.77
120,0,3.92,5.88,0,5.88,0,0,1.96,90.15,1.96,3.92,1.96,0,0,0,0,0,0,0,1.96,7.84,0
