stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,ionocyte,melanocytes,mesenchyme,mural.cell,neural,olfactory,paraxial.mesoderm,spinal.cord
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,10.51,0,7.89,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,15.73,0,6.29,0
 14-21,0,0,3,1,0,0,0,0,2,0,0,0,0,0
 24-34,0,0,0,1.64,0,0,0.82,0,0.82,0.82,2.46,0,0,0.82
 36-46,0,0,0,1.61,2.42,0.81,0,0,0.81,0,4.83,0,0,0.81
 48-58,0,0,0,1.15,1.15,0,0,0,0,1.15,6.89,0.57,0,0
 60-70,0,0,0,5.89,0.98,0,0,0,0.98,0,3.93,0,0,0
 72-82,0,0,0,67.73,3.93,0,0,0.98,0.98,0,5.89,0,0,0
 84-94,0,0,0,56.29,0,0,0,0,0,0,1.06,0,0,0
 96-106,0,0,0,41.53,4.37,0,0,0,0,0,6.56,0,0,0
108-118,0,0,0,32.17,0.77,0,0,0,0.77,0,0.77,0,0,0
120,0,0,0,50.95,3.92,1.96,0,0,0,0,1.96,0,0,0
