stage,blastomeres,epidermis,eye,glial,hatching.gland,ionocyte,mesenchyme,neural,notochord,olfactory,otic,paraxial.mesoderm,somites,spinal.cord,vasculature
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,7.89,2.63,0,0,2.63,0,0,0
 10-12,3.15,0,0,0,3.15,0,0,18.88,0,0,0,3.15,0,0,0
 14-21,0,1,1,0,0,0,1,14,1,0,0,2,0,5,0
 24-34,0,0,2.46,0,0,0.82,0,41.86,0,0,0.82,0,0.82,7.39,0
 36-46,0,0,4.03,0,0,0,0.81,75.73,0,1.61,0,0,0,6.45,0
 48-58,0,0,22.95,2.3,0,0,1.15,74.59,0,0,0,0,0,14.92,0
 60-70,0,0,13.74,1.96,0,0,0.98,50.06,0,0,0,0,0,6.87,0
 72-82,0,0.98,21.6,4.91,0,0,0,27.49,0,0,0,0,0,2.94,0
 84-94,0,0,10.62,1.06,0,0,0,18.05,0,0,0,0,0,2.12,0
 96-106,0,0,7.65,2.19,0,0,1.09,5.46,0,0,2.19,0,0,1.09,0
108-118,0,0,2.3,0.77,0,0,0,10.72,0,0,0,0,0,0.77,0.77
120,0,0,5.88,0,0,0,0,17.64,0,0,1.96,0,0,0,0
