stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,606.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,147.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,7.89,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0
 24-34,0,0,0,0.82,1.64,0,0,0,0,0,1.64,0,1.64,0,0,0,0,0,0.82,0,0,46.79,2.46,0,0,0,0,0,0,1.64,4.1,0.82,19.7,0,0,0,0,0
 36-46,0,0,0,0,0.81,0,0.81,0.81,0,0,4.83,0,0.81,0,0,0.81,0,0,2.42,0,0.81,135.35,3.22,0,3.22,0,0,1.61,0,0.81,0.81,0,45.92,0,0,0,0,0
 48-58,0,0,0,0,1.15,0,5.16,0,0,0.57,18.36,0,0,0,0.57,0,0,0,3.44,0,1.15,189.36,2.87,0,2.3,0,0,1.15,0,0.57,0.57,0,51.64,0,0,0,0,0
 60-70,0,0,0.98,0,1.96,0.98,43.19,0,0.98,0,59.87,0.98,0,0,0,0,0,0,5.89,0,0.98,484.87,2.94,0,1.96,0,0,0,0,0,0.98,0,60.85,0,0,0,0,0.98
 72-82,0,0,0,0,1.96,0,92.28,0,0,0,51.05,3.93,0,1.96,0,0,0,0,12.76,0,0,476.11,0,0,7.85,0,0,0,0.98,1.96,0.98,0,30.43,0,0,2.94,0.98,0
 84-94,0,0,0,0,1.06,3.19,66.91,1.06,1.06,0,45.67,3.19,1.06,0,1.06,2.12,0,1.06,3.19,1.06,3.19,262.32,3.19,1.06,5.31,0,1.06,2.12,0,0,2.12,0,18.05,1.06,0,1.06,1.06,0
 96-106,0,0,1.09,0,4.37,0,52.46,0,1.09,1.09,32.79,3.28,0,0,1.09,2.19,0,0,6.56,0,0,228.4,2.19,2.19,5.46,0,0,4.37,0,0,1.09,0,14.21,1.09,0,1.09,0,0
108-118,0,0,0,0,3.06,0,42.13,0.77,0,0,32.17,2.3,0,0,2.3,0,0,0,4.6,0,0.77,226.73,3.06,0,6.13,0,0,1.53,0,1.53,0.77,0,5.36,3.83,0.77,1.53,0,0
120,0,0,0,0,9.8,0,52.91,3.92,0,0,35.28,3.92,1.96,0,0,0,3.92,0,9.8,0,3.92,303.77,9.8,0,3.92,0,0,1.96,0,0,0,0,9.8,1.96,0,1.96,0,0
