stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1,7,77,40,0,53,0,2,0,14,3,1,1,0,14,0,0,2,1,38,0,0,33,419,26,0,9,10,0,23,61,5,13,124,148,0,0,21,0,1
 24-34,1.64,2.46,77.98,17.24,0,117.38,0.82,17.24,4.1,14.78,1.64,0,7.39,2.46,41.86,2.46,1.64,0.82,4.1,96.04,4.93,0.82,48.43,764.22,9.85,5.75,6.57,0,0,66.49,0.82,7.39,9.03,44.33,192.9,0,0,100.97,0,6.57
 36-46,0,0,55.59,4.83,0,161.13,11.28,12.09,4.03,39.48,1.61,0,3.22,1.61,6.45,4.03,1.61,0,4.83,75.73,4.83,5.64,30.62,579.28,5.64,8.86,5.64,0,0,60.43,0,4.03,5.64,0.81,155.49,0,0,44.31,0,8.06
 48-58,0,0,30.41,4.02,0,221.49,8.03,8.61,5.74,67.14,2.87,0,2.3,1.15,7.46,0,2.3,1.15,2.87,121.07,5.74,6.89,36.15,404.53,1.72,2.87,6.31,0,1.15,36.72,0.57,2.3,5.16,0,109.02,0,1.15,37.3,0,5.74
 60-70,0,0,69.69,6.87,0,418.13,14.72,18.65,6.87,78.52,5.89,0,1.96,8.83,8.83,3.93,1.96,4.91,0.98,168.82,1.96,4.91,15.7,454.44,1.96,9.82,4.91,0,1.96,47.11,0,4.91,3.93,0,71.65,0,2.94,28.46,0,4.91
 72-82,1.96,0,47.12,3.93,0,450.58,11.78,10.8,12.76,101.11,14.72,0.98,3.93,8.83,22.58,4.91,7.85,0,1.96,259.16,3.93,16.69,30.43,421.13,1.96,8.83,12.76,0,6.87,31.41,0,4.91,2.94,0,53.99,2.94,13.74,75.59,15.71,2.94
 84-94,2.12,0,103.02,5.31,0,307.99,2.12,20.18,5.31,63.72,27.61,2.12,2.12,13.81,30.8,11.68,4.25,4.25,5.31,156.12,1.06,10.62,26.55,207.1,2.12,5.31,19.12,0,0,82.84,0,8.5,6.37,0,27.61,6.37,6.37,48.85,23.36,1.06
 96-106,1.09,0,109.28,13.11,1.09,229.5,10.93,15.3,7.65,67.76,42.62,0,14.21,14.21,32.79,4.37,5.46,6.56,0,148.63,7.65,9.84,18.58,191.25,6.56,10.93,10.93,0,7.65,62.29,0,6.56,4.37,0,8.74,7.65,15.3,63.39,22.95,9.84
108-118,0.77,0.77,94.98,18.38,4.6,190.72,8.43,30.64,3.83,58.98,47.49,0,1.53,19.15,32.94,22.98,6.13,6.13,0.77,137.87,10.72,9.96,29.11,196.09,1.53,9.96,14.55,0,4.6,49.79,0,8.43,6.13,0,4.6,9.19,3.06,57.45,13.79,13.79
120,0,0,84.27,15.68,1.96,150.9,7.84,19.6,1.96,56.83,48.99,0,0,11.76,19.6,11.76,5.88,5.88,1.96,123.47,11.76,9.8,29.4,207.74,9.8,3.92,9.8,0,13.72,48.99,0,7.84,0,0,5.88,1.96,17.64,37.24,13.72,1.96
