stage,epidermis,eye,fin.epithelia,glial,gut,immune,ionocyte,liver,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,pgc,presomitic.mesoderm,somites,spinal.cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,6.29,0,0,3.15,3.15,0,0,0,0
 14-21,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,1,0
 24-34,1.64,0,0,0,0,0,0,0,2.46,1.64,1.64,0,0,0,0,0,0,0.82,0
 36-46,0,0,0,0,0,0,0,0,5.64,0.81,2.42,0,0.81,0,0,0,0,0,0
 48-58,1.72,0.57,0,0,0,0,0,0,1.72,1.15,1.72,0,0,0,0,0,0,0,0.57
 60-70,2.94,2.94,0.98,0.98,0,0,0,0,2.94,0.98,4.91,0,0,0,0,0,0,0,0
 72-82,3.93,0.98,0,1.96,0,0,0,0,7.85,0,0.98,0,0,0,0,0,0,0,1.96
 84-94,3.19,1.06,1.06,2.12,0,4.25,1.06,0,4.25,0,1.06,0,0,0,0,0,0,0,1.06
 96-106,2.19,2.19,0,3.28,0,1.09,0,0,3.28,1.09,1.09,1.09,0,0,0,0,0,0,3.28
108-118,3.83,4.6,0,0.77,2.3,0,0,1.53,1.53,0,0.77,0,0,0,0,0,0,0,1.53
120,1.96,0,0,0,0,1.96,0,1.96,0,0,0,0,0,0,0,0,0,0,3.92
