stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,13.18,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,0,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,5.26,0,0,0,26.29,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,22.03,0,0,0,0,0,0,0,0,9.44,3.15,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,1,1,0,0,0,15,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,4,0,0,3,0
 24-34,0,0,0,0.82,0,17.24,0,0,0,12.31,0,0,0,0,0,0,0.82,4.93,0.82,0,0.82,0,0,0,0,0.82,1.64,0,16.42,0.82
 36-46,0,0,0,0,0,6.45,0,0,0,4.03,0,0,0,0,0,0,0,8.86,1.61,0,0,0,0,0,0,0,0,0,11.28,0
 48-58,0,0,0,0,0,10.9,0.57,0,0,2.3,0,0,0.57,0,0,0,0,10.9,1.15,0,0,0,0,0,0,0,0,0,14.92,0
 60-70,0,0,0.98,1.96,0,12.76,0,0,1.96,2.94,0,0,0,0,0,0,0,4.91,0.98,0,0,0,0,0,0,0,0,0,9.82,0
 72-82,0,0,0,0.98,0,21.6,0.98,0,4.91,1.96,1.96,0,0.98,0,0,0,4.91,17.67,2.94,0,0,0,0,0,0,0,0,0,12.76,0
 84-94,0,0,1.06,5.31,0,33.99,0,0,19.12,3.19,0,0,0,1.06,1.06,0,4.25,27.61,0,0,0,0,0,0,0,0,0,0,11.68,0
 96-106,0,0,0,3.28,0,29.51,0,0,31.69,1.09,0,0,0,1.09,0,1.09,1.09,29.51,1.09,0,0,1.09,1.09,0,0,0,0,0,7.65,0
108-118,0,0,0.77,6.89,0,18.38,0,1.53,46.72,0,0,0.77,2.3,0,0,0,0.77,16.85,1.53,0,0,0.77,0,0,0,0,0,0.77,5.36,0.77
120,0,0,0,3.92,0,5.88,0,0,27.44,0,0,0,1.96,0,0,0,0,15.68,0,0,0,1.96,0,0,0,0,0,0,0,0
