stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,ionocyte,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,0,197.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,239.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,0,13.14,0,0,0,2.63,0,0,0,0,0,60.46,0,0,0,18.4,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,31.47,3.15,0,0,12.59,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,7,1,3,0,2,0,0,0,0,2,0,3,29,0,0,0,1,1,7,0,0,6,10,0,0,0
 24-34,0,0,0,0,1.64,0,1.64,0,0,0,0,2.46,0,1.64,24.63,0,0,0,0,0,0,0,0,0,4.1,0,0.82,0
 36-46,0,0,0,0,4.83,0.81,0.81,0,0,0,0,0.81,0,0,16.92,0,0,0,0,0.81,0,0,0.81,0,4.03,0,0,0
 48-58,0,0,0,0,3.44,0,1.15,0,0,0.57,0,1.72,0.57,0,10.9,0,0,0,0,1.15,0,0,0,0,2.3,0,0,0
 60-70,0,0,0,0,1.96,0,1.96,0,0,0,0.98,2.94,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0.98,0,0,0,1.96,0.98,0,0,0,5.89,0,0.98,6.87,0,0.98,0,0,0.98,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,1.06,0,1.06,0,0,0,0,1.06,0,1.06,3.19,0,0,1.06,0,1.06,0,0,0,0,0,0,1.06,0
 96-106,0,0,1.09,0,3.28,0,0,0,0,0,0,1.09,0,1.09,6.56,0,1.09,0,0,1.09,0,0,0,0,0,0,1.09,0
108-118,0,0,0,0,3.06,0,0.77,0,0,0,0,0.77,0,0,2.3,0.77,0,0,0,0.77,0,0.77,0,0,0.77,0,0.77,0.77
120,0,0,1.96,0,0,0,3.92,0,0,0,0,5.88,0,0,5.88,0,0,0,0,0,0,0,0,0,0,1.96,0,0
