stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,368.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,5.26,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,6.29,0,0,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,427.99,0,0,0,15.73,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,13,0,0,13,0,0,0,64,0,0,1,1,0,0,0,0,1,3,0,0,0,3253,4,0,0,1,0,0,1,0,2,1,706,0,0,0,0,0
 24-34,0,0,0,12.31,0.82,0,41.86,0,0.82,1.64,119.84,0,0.82,0,2.46,0.82,1.64,0.82,1.64,0.82,18.88,1.64,0,7.39,5866.66,3.28,3.28,3.28,0,10.67,0,0,1.64,1.64,4.93,1508.73,0,0,6.57,0,1.64
 36-46,0,0,0,6.45,0.81,0,57.2,0,0.81,0,380.28,0,0,0,3.22,0,0.81,0,0,0.81,16.11,1.61,0,3.22,4581.04,4.03,0.81,1.61,0,11.28,0,0.81,0.81,2.42,0.81,1516.27,0,0,4.83,0,2.42
 48-58,0,0,0,8.03,0.57,0,93.53,0.57,1.15,2.3,703.48,0,0,0.57,0.57,1.15,0,2.3,0,0.57,21.8,0.57,0.57,5.16,1730.6,3.44,0.57,2.3,0,2.87,0,0,0.57,1.15,0,966.86,0,0.57,1.72,0,3.44
 60-70,0,0,0,5.89,0,0,32.39,0,1.96,1.96,425,0,0,0,0,0,0,0,0.98,0,7.85,0,0,0.98,407.33,0,0,0,0,1.96,0,0,0,0,0,209.06,0,0,0,0,2.94
 72-82,0,0,0,6.87,0.98,0,29.45,0,0.98,0.98,297.44,0,0,0,0.98,0,0,2.94,0,0,4.91,0,1.96,2.94,164.92,0.98,0,4.91,0,1.96,0,0,0,0,0,22.58,0.98,0,0,0.98,1.96
 84-94,0,0,0,18.05,0,0,35.05,0,2.12,1.06,186.92,0,0,0,0,0,0,0,0,0,8.5,0,0,2.12,116.82,2.12,0,3.19,0,3.19,0,0,0,0,0,38.23,0,0,1.06,0,2.12
 96-106,1.09,0,0,10.93,1.09,1.09,30.6,0,3.28,0,185.78,1.09,0,0,1.09,0,0,2.19,1.09,0,6.56,0,0,3.28,130.05,2.19,0,3.28,0,6.56,0,0,0,0,0,3.28,0,0,1.09,0,3.28
108-118,0,0,0,15.32,0.77,0.77,9.96,0,4.6,0,150.89,0,0,0,1.53,0.77,0,0.77,0,0,6.13,0,0,0,127.92,1.53,0.77,0.77,0,6.13,0,0,0.77,0,0,0.77,0,0,0,0,9.19
120,0,0,0,17.64,0,0,19.6,0,0,0,109.75,0,0,0,1.96,0,0,3.92,1.96,0,9.8,0,1.96,1.96,141.1,1.96,0,1.96,0,7.84,0,0,3.92,0,0,0,0,0,1.96,0,0
