stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.57,2.63,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.91,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,1,21,9,0,2,0,0,0,5,1,0,0,0,0,0,0,0,21,0,0,10,55,0,1,1,1,0,2,4,0,0,3,14,0,0,2,0,0
 24-34,0,0,0,0.82,34.48,0.82,0,9.03,0,5.75,1.64,1.64,0,0.82,0,0,0,0,0,0.82,92.76,1.64,0,30.37,99.32,0,0,2.46,0.82,0,5.75,0,0,0,3.28,16.42,0,0,14.78,0,0
 36-46,0,0,0,0,23.36,0,0,8.06,0,0,7.25,3.22,0,2.42,0,0,0,0,0.81,0,140.19,0,2.42,39.48,52.37,0,0,1.61,0,0.81,2.42,0,0.81,0,0,8.86,0,0,5.64,0.81,2.42
 48-58,0,0,0,0,22.38,0,0,20.08,0,2.87,26.4,2.3,0.57,1.72,0,0,0.57,0.57,0,0.57,161.81,0,5.74,39.59,48.77,0,0,1.15,0,0,1.72,0,0.57,0,0,7.46,0,0,4.02,0,1.15
 60-70,0,0,0,0,27.48,0,0,23.56,0,0.98,29.45,5.89,0,0,0,0.98,0.98,0.98,0,0,209.06,0,5.89,26.5,38.28,0.98,1.96,0.98,0,2.94,2.94,0,0,0,0,1.96,0,2.94,5.89,0,0.98
 72-82,0,0,0,0,18.65,0,0,40.25,0,0.98,54.97,16.69,1.96,1.96,0.98,0,0.98,0,0,0.98,258.18,0,13.74,44.17,45.16,0,0,2.94,0,0.98,3.93,0,0.98,0,0,3.93,0.98,4.91,11.78,4.91,2.94
 84-94,0,0,0,0,30.8,2.12,0,35.05,0,4.25,40.36,9.56,2.12,1.06,1.06,4.25,5.31,0,0,2.12,167.8,0,9.56,20.18,26.55,1.06,1.06,4.25,0,0,3.19,0,2.12,1.06,0,2.12,0,4.25,10.62,4.25,0
 96-106,0,0,0,0,26.23,3.28,1.09,28.41,0,3.28,17.49,19.67,1.09,0,1.09,3.28,2.19,0,0,0,194.53,0,9.84,13.11,25.14,1.09,1.09,5.46,0,1.09,8.74,0,0,0,0,1.09,0,5.46,12.02,2.19,3.28
108-118,0,0,0.77,0,28.34,0.77,0.77,29.11,0,2.3,19.15,19.15,2.3,3.83,2.3,0,7.66,0,2.3,2.3,156.26,0,8.43,19.15,26.81,1.53,0,5.36,0,6.13,0.77,0,1.53,0,0,0.77,0,3.06,9.19,2.3,0.77
120,0,0,0,0,50.95,0,0,17.64,5.88,3.92,27.44,11.76,3.92,0,0,0,7.84,0,0,1.96,146.98,1.96,1.96,17.64,33.32,0,0,5.88,0,0,3.92,0,0,0,0,1.96,0,1.96,13.72,3.92,0
