stage,axial,blastomeres,endoderm,epidermis,eye,glial,hatching_gland,immune,liver,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,xanthophores
  3-4,26.36,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,5.26,0,0,0,26.29,0,0,0,0,18.4,2.63,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,9.44,0,6.29,0,0,0,0,18.88,0,0,18.88,0,3.15,3.15,0,0,3.15,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,1,10,0,0
 24-34,0,0,0,0,6.57,0,0,0,0,0,0,6.57,0,0,0,1.64,0,0,0,0,0,0,0
 36-46,0,0,0,0,5.64,0,0,0,0,0,0,9.67,0,0,0,0,0,0,0,0,0.81,0,0
 48-58,0,0,0,0,4.02,0.57,0,0,0,1.72,0,4.02,0,0,0,0,0,0,0,0,1.72,0,0
 60-70,0,0,0,0,15.7,0,0,0,0,0.98,0,8.83,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,6.87,0,0,0,0,2.94,0.98,0.98,0,0,0,0,0,0,0.98,0,0,0.98,0
 84-94,0,0,0,0,8.5,0,0,1.06,0,0,0,2.12,0,0,0,1.06,0,0,0,0,0,1.06,1.06
 96-106,0,0,0,1.09,7.65,0,0,0,0,1.09,0,1.09,0,3.28,0,0,0,0,0,0,0,0,0
108-118,0,0,0,1.53,9.19,0.77,0,0,0.77,0,0,1.53,0,1.53,0,0,0,0,0,0,0,0,0
120,0,0,0,0,9.8,0,0,0,0,1.96,0,3.92,0,1.96,0,0,0,0,0,0,0,0,0
