stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,3,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,81,0,0,0,0,0,1,0,0,33,0,0,0,0,0
 24-34,0.82,1.64,0,0,4.93,0,0.82,0,0,0,0,0,0,21.34,0,0,0,0,0.82,2.46,0,0.82,622.21,0,8.21,2.46,0,2.46,0,0.82,0,79.62,0,0,0,0,0
 36-46,0.81,1.61,0,0,158.72,0,0.81,0.81,8.06,0,0,0,0,8.06,0,0,0,0.81,4.03,0,0,0,1422.01,0.81,6.45,1.61,0,1.61,0,0.81,0,124.07,0,0.81,0,0,0
 48-58,0,10.33,0.57,0,840.05,1.72,2.3,0.57,56.81,0,0,0,0,4.59,2.3,0.57,0.57,0,18.94,1.72,1.15,4.02,2317.6,0.57,5.16,4.02,0.57,4.02,0,1.72,0,180.75,0,0,0.57,0,2.3
 60-70,0,10.8,0.98,0,2187.81,1.96,1.96,0,97.17,0,0.98,0,1.96,8.83,3.93,0.98,0,0,24.54,0,2.94,2.94,2938.68,2.94,3.93,7.85,0.98,4.91,0,0.98,0,284.64,0,0.98,1.96,0,0.98
 72-82,1.96,33.38,7.85,0,2520.91,0,1.96,3.93,155.1,3.93,0,0.98,0.98,17.67,6.87,4.91,0,0.98,44.17,2.94,1.96,4.91,2583.73,0,13.74,29.45,0.98,4.91,0,2.94,0.98,154.12,0.98,1.96,5.89,2.94,0.98
 84-94,0,73.28,1.06,1.06,1474.11,1.06,4.25,5.31,141.25,2.12,0,1.06,4.25,33.99,5.31,4.25,3.19,1.06,59.47,0,9.56,8.5,1332.86,1.06,8.5,30.8,0,12.74,0,0,1.06,106.2,0,1.06,7.43,3.19,0
 96-106,0,46.99,7.65,0,1040.39,0,4.37,4.37,95.08,3.28,0,2.19,5.46,29.51,1.09,9.84,7.65,0,51.36,0,3.28,6.56,1107.05,2.19,10.93,36.06,2.19,8.74,0,4.37,0,33.88,1.09,1.09,1.09,2.19,1.09
108-118,0.77,19.15,2.3,3.06,784.35,3.83,1.53,0,65.87,1.53,0,0,3.06,39.83,2.3,8.43,3.06,0.77,25.28,0.77,2.3,4.6,1105.28,2.3,7.66,25.28,0.77,1.53,0,3.83,0,25.28,0,0,2.3,1.53,1.53
120,0,25.48,5.88,1.96,636.93,1.96,1.96,3.92,97.99,1.96,0,3.92,5.88,17.64,1.96,11.76,3.92,0,43.12,0,5.88,9.8,1273.86,0,11.76,29.4,0,9.8,0,0,0,27.44,0,0,3.92,0,0
