stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,289.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0
  5-6,6.13,85.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.29,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.2,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,5,30,1,0,0,0,0,0,4,3,0,0,0,0,0,0,3,0,5,30,2,0,1,0,0,1,1,5,1,30,0,0,0,0,0
 24-34,0,0,0.82,3.28,13.13,0,0,7.39,0,2.46,0.82,3.28,4.93,0.82,0,0.82,0,0,0,0.82,0,4.93,137.08,0,0.82,0.82,0,0,0.82,0,15.6,0.82,111.64,0,0,0.82,0,0
 36-46,0,0,0,0,2.42,0,0,6.45,0,2.42,0,5.64,2.42,0,0,0,0,1.61,0.81,4.03,0,1.61,319.85,0.81,0.81,0,0,0,0.81,0,8.86,0,190.94,0,0,0.81,0,0
 48-58,0,0,1.72,0,1.72,0.57,0,24.67,0,2.3,0,10.9,0,0.57,0,0,0,1.15,0,10.9,0,2.87,461.34,0,1.15,0,0,0,0,0,5.16,0,151.48,0,0,1.72,0,0
 60-70,0,0,0,0,0.98,0,0,43.19,0,2.94,0.98,33.37,0.98,0,0.98,0,0,0.98,0,7.85,0,2.94,839.2,0,0,0.98,0,0,1.96,0,2.94,0,181.58,0,0,2.94,0,0.98
 72-82,0,0,7.85,0,7.85,0,0,75.59,0.98,1.96,0,56.94,3.93,0,0,0,0.98,0,0,32.39,0,1.96,1209.41,0,0,1.96,0,0,1.96,0,2.94,0,145.29,0,0.98,2.94,0.98,0
 84-94,0,0,4.25,0,7.43,2.12,0,83.9,0,4.25,0,26.55,10.62,0,1.06,1.06,1.06,2.12,0,16.99,4.25,3.19,641.47,0,1.06,2.12,0,0,1.06,0,9.56,0,87.09,0,1.06,2.12,0,0
 96-106,0,0,7.65,0,7.65,2.19,1.09,97.26,0,1.09,1.09,32.79,20.76,0,1.09,0,2.19,5.46,1.09,15.3,0,0,692.86,0,1.09,0,0,1.09,3.28,0,6.56,0,41.53,0,1.09,2.19,0,1.09
108-118,0,0,5.36,0,7.66,0.77,0,63.57,0,0.77,0.77,21.45,10.72,0,1.53,0,1.53,0,0,9.19,0,2.3,883.92,0.77,0.77,0.77,0,0,2.3,0,3.83,0,33.7,0.77,0,0,0.77,0.77
120,0,0,1.96,0,11.76,3.92,0,48.99,0,0,0,17.64,17.64,0,0,0,1.96,1.96,0,9.8,1.96,1.96,944.62,0,1.96,5.88,0,1.96,0,0,7.84,0,45.08,0,0,0,0,0
