stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,263.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,202.28,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,5.26,0,0,13.14,0,0,0,10.51,0,0,0,0,0,0,0,0,110.41,0,0,0,18.4,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,119.58,3.15,0,0,15.73,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,2,0,1,3,0,0,1,0
 24-34,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0.82,0,2.46,0,0.82,7.39,0,0.82,0,0,0.82,0,0,0,0,0,3.28,0,2.46,0
 36-46,0,0,0,0,0,0,3.22,0.81,0,0,0,0,0,0,0,0.81,1.61,0,0,9.67,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0.81
 48-58,0,0,0,0,1.15,0,4.02,0,1.72,0,0,0,0,0,0,0,0.57,0,0.57,10.9,0,0,0,0,0,0,0,0,0,0,1.15,0,0,0
 60-70,0,0,0,0,0.98,0,0.98,0,0,0,0,0.98,0,0,0,0,1.96,0,0,12.76,0,0,0.98,0,0.98,0,0,0,0,0,0,0,0,0.98
 72-82,0,0,0,0,0,0,3.93,0,1.96,0,0,0,0.98,0.98,0,0,0.98,0,1.96,7.85,0,0.98,0,0,0,0,0,0,0,0,0.98,0,0,1.96
 84-94,0,0,1.06,0,1.06,0,4.25,0,1.06,0,0,0,0,0,0,0,2.12,1.06,0,5.31,0,0,1.06,0,0,0,0,0,0,0,0,0,0,1.06
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.19,0,0,3.28,0,0,1.09,0,1.09,0,0,0,0,0,1.09,0,0,0
108-118,0,0,0,0,0,0.77,0,0,1.53,0,0,0,0,0,0,0.77,0,0,1.53,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1.53
120,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,1.96,0,0,0,0,0,0,1.96,0,0
