stage,blastomeres,epidermis,eye,fin_epithelia,glial,ionocyte,liver,mesenchyme,mucous,mural_cell,muscle,neural,periderm,somites,spinal_cord,visceral_smooth_muscle
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,2.46,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.81,1.61,1.61,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,1.72,2.87,0,0.57,0
 60-70,0,0,0.98,0,0,0,0,0,0,0,0,0,14.72,0,0.98,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,2.94,49.08,0,0,0
 84-94,0,0,1.06,0,0,0,0,1.06,0,0,0,1.06,90.27,0,0,0
 96-106,0,0,1.09,1.09,1.09,1.09,2.19,2.19,1.09,0,0,5.46,173.76,0,0,2.19
108-118,0,0.77,0,0.77,0,1.53,0,0.77,1.53,0.77,0,3.83,151.66,0,0,0
120,0,1.96,0,1.96,0,0,0,0,1.96,0,0,3.92,143.06,0,1.96,0
