stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,224.02,2991.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.25,0,0,0,0,0,0,0,0,0
  5-6,128.72,2415.08,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,24.52,0,55.17,0,0,0,0,0,0,0,0,0
  7-9,36.8,47.32,0,68.35,0,0,0,147.21,0,0,0,0,0,47.32,0,0,0,0,0,0,0,0,0,0,0,1314.36,31.54,0,0,507.34,0,5.26,10.51,0,2.63,0,0,0,0,0,0
 10-12,0,22.03,0,34.62,0,6.29,0,132.17,0,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,774.15,15.73,0,0,298.96,0,3.15,6.29,6.29,44.06,0,0,0,0,0,0
 14-21,0,0,1,4,48,11,0,31,0,0,0,6,6,0,1,0,3,0,0,0,0,24,0,0,13,374,10,2,6,14,0,17,2,43,4,1,29,99,0,0,0
 24-34,0,0,0,0,11.49,0.82,0,67.31,0,0.82,1.64,9.03,0.82,0,0.82,0.82,2.46,0.82,0,0,0.82,54.18,0,0.82,16.42,513.04,4.1,4.93,4.93,0,0,30.37,0,0,0.82,0,4.1,93.58,0,11.49,0
 36-46,0,0,0,0,8.06,1.61,0,135.35,0,0,0,8.86,0,0,0,0.81,0,0,2.42,0.81,0,39.48,0,0,13.7,327.91,0.81,0,0,0,0,6.45,0,0,0,0,0,71.7,0,3.22,2.42
 48-58,0,0,0,0,4.59,1.15,0,158.94,0,0.57,1.15,10.33,1.15,0,0,0.57,0,1.15,0,0,1.72,44.76,0,2.3,9.75,185.34,0,1.15,2.87,0,0,4.02,0,0,0,0,0,23.53,0,2.3,0
 60-70,0,0,0,0,9.82,0,0,91.28,0,0.98,0.98,16.69,0.98,0,0.98,1.96,0,0.98,0.98,0.98,0,31.41,0,1.96,4.91,104.04,0,0.98,0.98,0,0,2.94,0,0,0.98,0,0,8.83,0,0,0
 72-82,0,0,0,0,8.83,1.96,0,48.1,0,0,0,8.83,0.98,0,0.98,0,1.96,1.96,0.98,0.98,0,30.43,0.98,2.94,8.83,88.35,0,2.94,1.96,0,0,2.94,0,0,0,0,0,5.89,0.98,3.93,0
 84-94,0,0,0,0,9.56,1.06,0,36.11,0,2.12,0,6.37,1.06,0,1.06,1.06,0,3.19,0,2.12,0,25.49,0,1.06,3.19,54.16,0,1.06,2.12,0,1.06,1.06,0,0,0,0,0,2.12,0,5.31,0
 96-106,0,0,1.09,0,3.28,6.56,1.09,25.14,0,0,0,5.46,0,0,0,1.09,2.19,2.19,1.09,0,1.09,17.49,1.09,1.09,4.37,45.9,1.09,2.19,4.37,0,0,4.37,0,0,1.09,0,0,3.28,1.09,1.09,0
108-118,0,0,0,0,12.26,3.06,0.77,22.98,0.77,0.77,0,9.96,3.83,0,0,2.3,0,0,0,0.77,0,10.72,0,0,6.13,51.32,0.77,0,1.53,0,0,5.36,0,0,0,0,0,0,0,1.53,0
120,0,0,0,0,1.96,9.8,1.96,27.44,0,1.96,0,5.88,1.96,0,0,1.96,0,1.96,0,0,0,25.48,0,1.96,1.96,47.03,3.92,0,1.96,0,0,5.88,0,0,0,0,0,0,0,3.92,0
