stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,91.94,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,31.54,5.26,0,84.12,0,0,5.26,0,0,0,0,0,52.57,0,0,0,0,0,0,0,0,0,0,44.69,18.4,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,251.76,0,31.47,9.44,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,78.67,6.29,0,0,12.59,0,0,0,12.59,0,0,0,0,0,0,0,0
 14-21,0,0,0,132,191,77,24,0,0,0,8,84,0,8,0,0,1,0,2,166,0,0,57,42,7,0,1,14,0,1,4,2,0,5,78,0,0,27,0,0
 24-34,0,0,0.82,55,141.19,4.1,87.83,0,0.82,0.82,0.82,7.39,0,7.39,0,0.82,0,0,2.46,87.01,0,0,40.22,26.27,0,0,0,0,1.64,0.82,0.82,0.82,0,2.46,28.73,0,0,30.37,0,0
 36-46,0,0,0,5.64,78.96,0,62.84,0,0,20.95,0,4.03,0,8.86,0.81,0,0.81,0,1.61,171.61,0,4.03,87.01,18.53,0,1.61,0.81,0,0,1.61,0,0,0,0,11.28,0,0,4.03,0,0
 48-58,0,0,0,1.15,53.94,0.57,50.49,0,0.57,30.41,1.72,2.3,0,4.02,0,0,2.87,0,0.57,405.68,0,1.15,67.14,22.95,0,0,0.57,0,0,0.57,0,0,0,0,7.46,0,1.72,0.57,0,0.57
 60-70,0,0,0,0,64.78,0.98,29.45,0,1.96,49.08,4.91,1.96,0,5.89,0.98,0,2.94,0,0,722.4,0,2.94,51.04,35.33,0,0.98,0.98,0,2.94,0,0,0,0.98,0,0.98,0,3.93,4.91,0.98,0.98
 72-82,0,0,0,0,36.32,0,44.17,0,0.98,52.03,5.89,1.96,0,6.87,0,0,3.93,0,0,811.83,0,3.93,61.84,51.05,0,0,1.96,0,1.96,1.96,0,0,0,0,1.96,0.98,1.96,5.89,6.87,0
 84-94,0,0,0,0,50.98,1.06,62.66,0,3.19,40.36,5.31,2.12,0,1.06,0,1.06,11.68,0,0,570.31,0,10.62,30.8,25.49,0,0,0,0,2.12,0,0,2.12,0,0,1.06,10.62,3.19,7.43,5.31,0
 96-106,0,0,0,0,51.36,1.09,56.83,1.09,3.28,27.32,5.46,4.37,0,8.74,0,2.19,10.93,1.09,1.09,451.35,1.09,5.46,19.67,27.32,0,4.37,1.09,0,4.37,2.19,0,0,0,0,2.19,9.84,5.46,8.74,7.65,0
108-118,0,0,0,0,36.77,1.53,35.23,0,0.77,28.34,3.06,7.66,0,3.06,2.3,0.77,9.96,0,0.77,311.75,1.53,4.6,18.38,26.04,1.53,0,0.77,0,3.06,2.3,0,0,0,0,1.53,12.26,3.06,8.43,0.77,0.77
120,0,0,0,0,33.32,0,37.24,0,1.96,25.48,1.96,1.96,0,3.92,0,0,5.88,0,1.96,231.25,0,5.88,13.72,27.44,0,1.96,1.96,0,1.96,0,0,0,0,0,0,3.92,1.96,1.96,1.96,0
