stage,axial,blastomeres,epidermis,eye,fast.muscle,glial,hatching.gland,mesenchyme,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord,vasculature
  3-4,26.36,250.38,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,12.59,3.15,0,6.29,0,0,0,0
 14-21,0,0,3,0,0,0,0,0,2,0,0,0,0,1,1,0
 24-34,0,0,0.82,0,0,0.82,0,0.82,2.46,0,0,0,0,0,0.82,0
 36-46,0,0,0.81,0.81,0,0,0,0.81,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0.57,0.57,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0.98,1.96,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0.98,0.98,0.98,0,0,0,0,0,0,0,0
 84-94,0,0,1.06,0,0,1.06,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.77,0,0,0.77,0,0.77,0,0,0,0,0.77
