stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,105.42,988.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0,0
  5-6,12.26,582.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,6.13,0,18.39,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,7.89,0,0,57.83,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,381.16,2.63,0,0,123.55,0,0,13.14,0,0,0,0,0,0,0
 10-12,0,9.44,9.44,0,0,81.82,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,368.2,3.15,0,0,107,0,0,9.44,3.15,6.29,0,0,0,0,0
 14-21,0,0,3,12,3,6,0,0,0,0,1,0,0,0,0,0,0,1,6,0,0,7,68,5,0,3,2,0,1,1,18,0,29,16,0,1,0
 24-34,0,0,0,3.28,0.82,11.49,0,0,0,0,0,0,0,1.64,0,0,0,0,9.85,0,0,2.46,82.09,0,0,0.82,0,0,3.28,0,0,0,2.46,11.49,0,0.82,0.82
 36-46,0,0,0,0,0,10.47,0,0,0,1.61,0.81,0,0,0,0,0,0,0,6.45,0.81,0,0.81,53.98,0,1.61,0,0,0,0.81,0,0,0.81,0,12.09,0,0,0
 48-58,0,0,0,0,0,8.61,0.57,0,0,4.02,0,0,0,0,0,0,0,0.57,10.33,0,0,0.57,31.56,0,0,0,0,0,0.57,0,0,0,0,9.18,0,0,0
 60-70,0,0,0,0,0,15.7,0,0,0,2.94,0.98,0,0,0,0,0,0.98,0,7.85,0,0,0,29.45,0,0,0,0,0,0.98,0,0,0,0,2.94,0,0,0
 72-82,0,0,0,0.98,0,20.61,0,0,0,5.89,0.98,0,0,0.98,0,0.98,0,0,13.74,0,0,2.94,29.45,0,0,0,0,0,0,0,0,0,0,0.98,0,0.98,0
 84-94,0,0,0,1.06,2.12,11.68,1.06,0,0,3.19,1.06,0,0,1.06,1.06,0,1.06,0,5.31,0,1.06,2.12,22.3,0,0,0,0,0,3.19,0,0,0,0,3.19,1.06,1.06,0
 96-106,0,0,0,2.19,0,4.37,0,0,0,7.65,0,0,1.09,0,0,0,0,0,8.74,1.09,0,3.28,14.21,1.09,0,2.19,0,1.09,4.37,0,0,1.09,0,2.19,0,1.09,0
108-118,0,0,0,2.3,0,9.19,0,0,0.77,5.36,1.53,0,0,0,2.3,0,0.77,0,8.43,0,0,5.36,22.98,0,0.77,0,0,0,3.06,0,0,0,0,0.77,0,1.53,0
120,0,0,0,3.92,0,5.88,0,1.96,0,5.88,1.96,0,1.96,0,0,0,0,0,5.88,0,0,7.84,21.56,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0
