stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,197.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,153.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,7.89,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,84.12,2.63,0,0,28.92,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,6.29,0,0,0,81.82,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,601.07,0,0,0,25.18,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,140,4,0,339,0,0,0,5,0,1,0,0,0,0,5,0,0,14,0,0,4,994,1,24,105,2,4,7,1,0,5,22,0,0,0,0,0
 24-34,0,0,0.82,72.24,0.82,0,218.35,0,1.64,0.82,34.48,0,0.82,0.82,0,0.82,0.82,41.86,0,0,50.07,1.64,0,8.21,1465.23,0.82,88.65,73.88,0,4.1,0.82,0,0,4.1,28.73,0,0,1.64,0,0.82
 36-46,0,0,0,30.62,0,0,381.08,0,0.81,0,91.85,0,0,0.81,1.61,0,0,18.53,0,0.81,45.12,0,0,15.31,1272.15,1.61,60.43,34.64,0,5.64,0.81,0,0,0,35.45,0,0,0.81,0,0.81
 48-58,0.57,0,0,19.51,0,0,522.74,0,1.15,0,98.12,0.57,0,0,1.15,0,2.3,18.36,0,0,75.74,1.15,0,9.75,996.13,1.15,45.33,27.54,0,5.74,0.57,0,0.57,0,21.8,0,0,1.15,0,0.57
 60-70,0,0,0,21.59,0.98,0,859.81,1.96,0.98,0.98,122.69,0.98,0,1.96,0.98,0.98,0.98,12.76,0,1.96,66.74,0,1.96,4.91,792.09,0,35.33,28.46,0,1.96,0,0,0,0,9.82,0.98,0,0,1.96,0.98
 72-82,0,0,0,21.6,0.98,0.98,538.93,0,0,0,148.23,2.94,0,0,0.98,0.98,0,27.49,0,0,95.22,0.98,0.98,3.93,746.06,0.98,73.62,46.14,0,0,0,0,0,0,4.91,0.98,0.98,0.98,6.87,2.94
 84-94,0,0,0,42.48,1.06,0,463.05,1.06,1.06,3.19,109.39,0,0,0,2.12,1.06,0,25.49,0,1.06,64.78,1.06,3.19,2.12,534.2,1.06,58.41,47.79,0,5.31,0,0,0,0,6.37,1.06,1.06,1.06,2.12,1.06
 96-106,0,0,0,39.34,2.19,1.09,331.13,0,1.09,1.09,121.31,2.19,0,0,1.09,1.09,0,18.58,2.19,0,52.46,1.09,1.09,6.56,446.97,0,92.89,71.04,0,5.46,0,2.19,0,0,1.09,0,2.19,0,0,2.19
108-118,0,0,0,23.74,1.53,0.77,294.13,0.77,0,0,115.66,2.3,0,0,0,0.77,0.77,19.15,0.77,0,43.66,0,0,1.53,588.26,1.53,59.75,48.26,0,4.6,0,0,0,0,0.77,1.53,0,0,0.77,0
120,3.92,0,0,39.2,0,0,260.65,1.96,0,0,166.58,1.96,0,0,3.92,5.88,1.96,19.6,0,0,52.91,0,1.96,0,672.21,0,48.99,50.95,0,3.92,0,3.92,0,0,1.96,0,1.96,0,0,1.96
