stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,421.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0
  5-6,18.39,281.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,2.63,0,0,0,5.26,0,0,0,0,2.63,0,0,0,0,0,0,0,0,10.51,5.26,0,5.26,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,9.44,0,3.15,0,6.29,0,0,0,0,6.29,0,0,0,0,0,0,0,0,81.82,18.88,0,9.44,0,0,6.29,0,9.44,0,0,0,0,0,0
 14-21,0,0,0,0,4,1,0,17,0,0,0,1,1,0,0,1,0,5,0,0,3,35,1,0,0,0,0,0,1,0,6,13,0,0,0,0
 24-34,0,0,0,0,2.46,0,0,9.85,0,0,0,0,0,0,0,0.82,0,4.1,0,0,2.46,22.98,0,0,0,0,0.82,0,0.82,5.75,0.82,4.1,0,0.82,0,0
 36-46,0,0,0,0,0.81,0,0,8.06,0,0,0.81,0,0,0,0,0,0,6.45,0,0,0.81,29,0,2.42,0,0,0,0,0,4.83,0,2.42,0,0.81,0,0
 48-58,0,0,0,0,0,0,0,8.03,0,0,0.57,0,0,0.57,0.57,0,0,5.74,0,0,0,33.85,0,0.57,0,0.57,0,0,0,0.57,0,7.46,0,0,0,0
 60-70,0,0,0,0,0,0,0,174.71,0,0,2.94,0,0,0.98,0,0,0,9.82,0,0.98,0,71.65,0,1.96,0,0,0,0,0,0.98,0,1.96,0,0,0.98,0
 72-82,0,0,0,0,0.98,0,0,474.14,0,0,7.85,0.98,0,0,0.98,0,0,10.8,0,0.98,0.98,118.78,0,2.94,0,0,0.98,0,0,0.98,0,4.91,0.98,0.98,0,0
 84-94,0,0,0,0,1.06,1.06,0,339.85,0,1.06,5.31,1.06,0,1.06,0,0,0,12.74,1.06,0,0,59.47,0,2.12,0,0,4.25,0,0,2.12,0,4.25,3.19,0,2.12,0
 96-106,0,0,0,0,1.09,0,0,310.37,1.09,0,10.93,0,0,2.19,0,0,0,13.11,0,0,0,52.46,0,2.19,0,1.09,1.09,0,0,1.09,0,3.28,0,0,0,1.09
108-118,0,0,0.77,0,0.77,0.77,0.77,208.34,0.77,0.77,4.6,0,0,1.53,0.77,3.83,0.77,9.96,0,0,0.77,64.34,0,6.13,0,0,0.77,0,0,1.53,0,3.83,0,3.06,0,0
120,0,0,0,0,1.96,0,1.96,178.34,0,0,7.84,0,0,1.96,0,0,0,15.68,0,0,1.96,94.07,0,3.92,0,0,0,0,0,0,0,3.92,0,0,0,0
