stage,axial,blastomeres,epidermis,melanocytes,mesenchyme,mucous,muscle,neural,paraxial.mesoderm,pericytes,periderm,pronephros
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,5.26,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,0,0,3.15
 14-21,0,0,0,0,0,0,0,0,0,0,7,0
 24-34,0,0,0,0,0,0,0.82,2.46,0,0,5.75,0
 36-46,0,0,0,0,0.81,0,0,0,0,0,0.81,0
 48-58,0,0,0,0.57,0,0,0,0,0,0,1.15,0.57
 60-70,0,0,0.98,0,0,0.98,0,0,0,0,1.96,0
 72-82,0,0,0,0,0,1.96,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,1.09,0,0
108-118,0,0,0,0,0.77,0,0,0,0,0,0,0
