stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,immune,ionocyte,mesenchyme,muscle,neural,otic,paraxial.mesoderm,periderm,spinal.cord,taste
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
 48-58,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,4.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98
 72-82,0,26.5,0,0,0,0,0.98,0,0,0,0.98,0.98,0,0,3.93,0,1.96
 84-94,0,42.48,0,1.06,0,0,2.12,0,1.06,0,1.06,0,0,0,2.12,0,4.25
 96-106,0,202.18,0,2.19,0,1.09,8.74,1.09,5.46,4.37,1.09,4.37,0,0,34.97,0,20.76
108-118,0,233.62,0.77,3.06,0.77,0.77,16.09,0,23.74,2.3,0,5.36,0.77,0,27.57,0,35.23
120,0,182.26,0,0,1.96,0,5.88,0,13.72,1.96,0,7.84,0,0,48.99,0,13.72
