stage,epidermis,erythrocytes,eye,fin_epithelia,glial,mesenchyme,neural,periderm,spinal_cord,vascular_smooth_muscle
  7-9,0,0,0,0,0,0,2.63,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,0
 24-34,0.82,0,0,0,0,0.82,0.82,0,0,0
 36-46,0,0,0,0,0,0.81,4.03,0,0,0
 48-58,0,0,0,0,0,0,1.72,0.57,0.57,0
 60-70,0,0,6.87,0,0,0,2.94,0,2.94,0
 72-82,0,0,0.98,0.98,1.96,2.94,2.94,0,0.98,0.98
 84-94,1.06,1.06,0,0,0,1.06,1.06,1.06,0,0
 96-106,0,0,1.09,0,0,1.09,0,1.09,0,0
108-118,0,0,0.77,0,0,0,0.77,0,0,0
