stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,62,0,0,9,0,0,0,0
 24-34,0,1.64,0,0,0,0,0,0.82,0,0,0,0,0,0,0,1.64,1.64,0,0,60.74,0.82,1.64,0,0,0,217.53,0.82,0,41.04,0,0,0,0
 36-46,0,0.81,0,4.83,0,0,0,0,0,2.42,1.61,0,0,0.81,0,2.42,0.81,0.81,0,126.49,0,0,0,0,0,185.3,0,0,65.26,0,0,0,0.81
 48-58,0,1.72,0,18.36,0.57,0.57,1.72,0,0,0,1.72,0,0,0,0,2.87,0,0,0,121.07,0,0,0,0,0,129.11,0,0.57,51.07,0,0,0,0
 60-70,0,3.93,0,39.26,1.96,0.98,0,0,0.98,0,2.94,0,0,0,0,0.98,1.96,0,0.98,179.62,0,0.98,0,0,0.98,118.76,0,0,41.22,0,0,0,0
 72-82,0,11.78,0.98,45.16,0.98,0.98,2.94,0,0,0,7.85,0.98,1.96,0,0,6.87,0.98,0,0,237.56,0,0.98,0,0,0,101.11,0,0,35.34,0,0,0.98,0
 84-94,1.06,26.55,2.12,41.42,4.25,0,6.37,1.06,0,0,12.74,3.19,0,0,0,3.19,1.06,0,1.06,109.39,0,0,0,0,1.06,305.87,0,0,15.93,0,2.12,1.06,0
 96-106,1.09,22.95,2.19,56.83,0,0,9.84,2.19,0,1.09,15.3,3.28,0,1.09,1.09,3.28,4.37,1.09,0,139.88,0,1.09,0,0,0,236.05,0,0,10.93,1.09,0,0,0
108-118,0.77,25.28,0,58.21,3.83,0,8.43,1.53,0,0.77,12.26,2.3,0,1.53,0.77,3.06,1.53,0,0,186.13,0,1.53,0.77,0,0.77,170.04,0,0,16.85,0,0.77,0.77,0
120,0,11.76,0,56.83,3.92,0,9.8,0,0,1.96,21.56,1.96,0,0,0,5.88,1.96,1.96,3.92,146.98,0,1.96,1.96,0,3.92,148.94,0,0,13.72,0,0,0,0
