stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,glial,gut,hatching.gland,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,26.36,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,465.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,12.26,0,6.13,0,0,0,0,0,0,0,0
  7-9,15.77,13.14,7.89,0,0,0,5.26,0,0,0,26.29,0,0,0,0,0,0,0,0,202.41,7.89,0,70.98,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,53.5,6.29,0,28.32,0,0,6.29,0,0,0,0,0
 14-21,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,20,0,0,0,0,1,0,4,7,0,0,0
 24-34,0,0,0,0.82,0,0,2.46,0,0,0,0,0,0,0.82,0,0,0.82,0,1.64,8.21,0.82,0,0,0,0,0,0,4.1,0,3.28,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,1.61,0,0,0,0,0,0,0,0,0,3.22,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,0,0,0,0,1.15,0,0,0,0,0,0,0,0.57,0,2.87,0
 60-70,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,4.91,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,3.93,0,0,0.98,0,0,0,0.98,53.99,0,0,0,0,1.96,0,0,0,0.98,0,0,0,0,0,3.93,0
 84-94,0,0,0,0,0,0,2.12,0,0,0,0,0,1.06,0,242.14,0,0,0,0,3.19,0,0,0,0,0,0,0,0,1.06,2.12,0
 96-106,0,0,0,6.56,0,0,2.19,0,2.19,2.19,0,0,1.09,0,370.48,1.09,3.28,1.09,2.19,45.9,0,1.09,0,1.09,0,0,0,0,0,4.37,1.09
108-118,0,0,0,0.77,0.77,0.77,6.89,0.77,2.3,0,0,0,0.77,0.77,520.85,0,3.06,0,0,27.57,0,0.77,0,1.53,0,0,0,0,0.77,6.13,0
120,0,0,0,0,0,0,1.96,0,1.96,1.96,0,1.96,1.96,0,364.52,0,0,0,0,15.68,0,0,0,0,0,0,0,0,0,1.96,0
