stage,axial,blastomeres,endoderm,epidermis,eye,fast.muscle,fin.mesenchyme,glial,gut,lateral.line,mesenchyme,muscle,neural,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,13.18,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,47.32,0,23.66,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,0,0,0,0,0,0,40.91,0,18.88,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,0,0,0,1,0,0,4,1,20,0,1,0,1,0,0,0,1,20,0,0
 24-34,0,0,0,1.64,0,0,0,0.82,0,0,1.64,0.82,19.7,0,0,0,0,0,0,0,1.64,10.67,0.82,0
 36-46,0,0,0,0,0.81,0,0,3.22,0,0.81,0,0,20.95,0,0,0,0,0,0,0,0,6.45,0,0
 48-58,0,0,0,0,0.57,0.57,1.15,3.44,0.57,0,0.57,0,13.2,0,0,0,0.57,0,0,0,0,4.59,0,0
 60-70,0,0,0,0,0.98,2.94,0,7.85,0,0,2.94,0.98,3.93,0,0,0,0,0,0,0,0,1.96,0,0
 72-82,0,0,0,0,0.98,0.98,0,13.74,0,0,2.94,0,2.94,0.98,0,0,0,0,0.98,0,0,1.96,0,0
 84-94,0,0,0,0,1.06,0,0,5.31,1.06,0,2.12,0,0,0,0,0,0,0,0,0,0,1.06,0,0
 96-106,0,0,0,0,0,1.09,0,12.02,0,0,2.19,0,3.28,1.09,0,0,0,0,0,1.09,0,1.09,0,0
108-118,0,0,0,0.77,0.77,0,0.77,8.43,0,0,3.06,0.77,4.6,0,0,0.77,0,0,0,2.3,0,1.53,0,1.53
120,0,0,0,0,0,1.96,0,5.88,0,0,7.84,0,3.92,0,0,0,0,0,0,0,0,1.96,0,0
