stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,15.73,3.15,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,1,0,1,0,20,0,0,0,0,0,0,0,4,0,2,14,0,3,1,1,0,0,0,2,19,0,2,64,0,0,0,0
 24-34,0,0,0,0,0,0,0,2.46,0,19.7,0,0,0,0,0,0,0,4.93,0,0.82,24.63,0,12.31,0.82,0,0,0.82,0,0,12.31,0,0,51.71,0,0.82,0,0.82
 36-46,0,0,0,0,0.81,0,0,11.28,0,20.95,0,0,0,0,0,0,0,5.64,0,0,30.62,0,20.95,2.42,0,0,1.61,0,0,6.45,0,0,46.73,0,0,0,0
 48-58,0,0,0,0,0,0,0,10.9,0,14.35,0,0.57,0,0,0,0,0,7.46,0,0.57,24.1,0,10.33,2.87,0,0.57,0.57,0,0,1.15,0,0,36.15,0,0.57,0,0.57
 60-70,0,0,0,0,0,0,0,22.58,0,18.65,0,0,0.98,0,0,1.96,0.98,3.93,0,0,20.61,0,8.83,2.94,0,0,0,0,0,1.96,0,0,24.54,0,0.98,0,0
 72-82,0,0,0.98,0,0,0.98,0,17.67,0,8.83,0,0,0.98,0,0,1.96,0.98,4.91,0,0.98,10.8,0,19.63,9.82,0,0,0,0,0,2.94,0,0,8.83,0.98,0,0,0
 84-94,0,0,0,0,1.06,0,0,14.87,2.12,11.68,0,0,3.19,0,0,1.06,0,4.25,0,1.06,4.25,1.06,14.87,19.12,0,0,2.12,0,0,3.19,0,0,9.56,0,0,0,0
 96-106,0,0,2.19,0,0,0,0,5.46,0,6.56,0,0,1.09,1.09,0,6.56,0,3.28,1.09,0,12.02,0,30.6,24.04,0,0,6.56,0,0,4.37,1.09,0,8.74,0,0,1.09,0
108-118,0,0,1.53,0.77,2.3,0,0.77,3.83,0.77,2.3,0.77,0,0,0,0.77,8.43,0,3.83,0,0.77,12.26,0,21.45,16.85,0,0,1.53,0,0,3.83,0,0,6.13,0,0,0.77,0
120,0,0,0,0,5.88,1.96,0,1.96,1.96,0,5.88,0,1.96,1.96,0,1.96,0,5.88,0,0,11.76,0,13.72,13.72,0,0,3.92,0,0,3.92,0,0,5.88,0,0,0,0
