stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,421.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,171.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,7.89,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,15.77,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,10,0,1,0,0,1,3,0,1,0,0,0,0,0,5,0,0,7,67,1,0,0,7,1,0,1,19,0,0,0
 24-34,0,0,0.82,12.31,0,1.64,2.46,0,2.46,0.82,0,0,0.82,0,0,0,0,32.83,0,0,13.95,79.62,0,0,0,0,0,0,0,22.98,0,0,0
 36-46,0,0,0,15.31,0,1.61,0,2.42,2.42,0,0,3.22,1.61,0,0,0,0.81,62.04,0,1.61,23.36,35.45,0,0,0,0,0,0,0,15.31,0,3.22,0
 48-58,0,0,0,4.02,0,3.44,4.02,2.3,5.16,0,0,1.15,1.15,0,0,0,0,97.55,0,1.15,18.94,10.33,0,0,1.15,0,0,0.57,0,4.59,0,2.87,0.57
 60-70,0,0,0,9.82,0,5.89,3.93,1.96,2.94,0,0,0.98,3.93,0,0,0,0,150.17,0,5.89,15.7,23.56,0,0,4.91,0,0,0,0,1.96,3.93,3.93,1.96
 72-82,0,0,0,7.85,0,13.74,0.98,1.96,6.87,0.98,0,7.85,1.96,0,0,0,0,217.93,0,5.89,15.71,23.56,0,0.98,0,0,0.98,0,0,0.98,5.89,8.83,5.89
 84-94,0,0,0,20.18,0,13.81,4.25,3.19,9.56,2.12,0,6.37,18.05,0,0,1.06,0,159.31,0,10.62,11.68,15.93,0,1.06,9.56,0,0,0,0,0,3.19,10.62,9.56
 96-106,0,0,0,18.58,2.19,13.11,1.09,2.19,7.65,1.09,0,2.19,14.21,1.09,0,0,0,130.05,2.19,7.65,14.21,18.58,0,2.19,4.37,0,1.09,0,0,1.09,7.65,7.65,14.21
108-118,0,0,0,15.32,0,13.02,3.83,5.36,6.89,0.77,0,4.6,10.72,0,0.77,0,0.77,150.13,0,4.6,9.96,26.81,0,1.53,0,0,0,0,0,0,3.83,9.19,4.6
120,0,0,0,11.76,0,9.8,3.92,0,3.92,0,0,5.88,5.88,0,0,0,0,76.43,0,11.76,9.8,13.72,0,3.92,0,0,0,0,0,0,3.92,9.8,3.92
