stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,liver,mesenchyme,mucous,mural.cell,muscle,neural,otic,pericytes,periderm,pgc,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,6,2,1,0,0,0,0,0,0,0,4,0,0,1,0,0,0,2,1,0,0,0,0,3,2,0,0,0,0
 24-34,0,0,0,2.46,1.64,0.82,0,0,0,0,0,0.82,0.82,16.42,0,0,0,0,0,1.64,4.93,0,0,0,0,0,0.82,0,0,0,0,0
 36-46,0,0,0,0,4.03,0,0,0.81,0,0,0,0,0,30.62,0,0,0.81,1.61,0,0.81,13.7,0,0,0,0,0,0,3.22,0,0,0,0
 48-58,0,0,0,1.72,10.33,2.87,0,0.57,0,1.72,0,0,0,32.13,0.57,0,1.72,1.15,0,0,14.35,0,0,0,0,0.57,0,1.72,0,1.15,0,0
 60-70,0,0,0,1.96,17.67,4.91,0,0,0.98,1.96,0,0,0,45.15,0,0.98,2.94,0,0,0,14.72,0,0,0.98,0,0,0,0.98,0,0.98,0,0.98
 72-82,0,0,0,2.94,105.04,2.94,0,0.98,0,26.5,0.98,0,0,55.95,0,0,13.74,1.96,1.96,0,21.6,0.98,0,0.98,0,0,0,0.98,0.98,5.89,0,0
 84-94,0,0,0,3.19,66.91,1.06,0,0,0,21.24,1.06,0,0,112.58,0,0,7.43,3.19,0,0,11.68,0,0,0,0,0,0,0,0,3.19,0,0
 96-106,0,1.09,0,6.56,88.52,2.19,1.09,4.37,0,30.6,16.39,0,0,147.53,1.09,2.19,12.02,3.28,1.09,1.09,12.02,1.09,0,0,3.28,0,0,0,0,3.28,0,0
108-118,0,0,0,4.6,58.98,1.53,0,2.3,0,33.7,7.66,0,0,112.6,1.53,0,5.36,0,0,1.53,12.26,0.77,0.77,0,0,0.77,0,0,0,5.36,0.77,0
120,0,0,0,7.84,82.31,0,0,1.96,0,27.44,9.8,0,0,86.23,0,0,3.92,0,0,1.96,11.76,0,0,0,0,0,0,0,0,5.88,0,0
