stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.89,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.63,5.26,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.97,9.44,0,0,18.88,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,192,5,0,3,0,0,0,2,0,0,0,1,0,1,0,39,1,0,14,106,119,0,0,9,0,1,15,0,4,15,70,0,0,0,0,0
 24-34,0.82,0,0,0,68.95,0.82,0,2.46,0,1.64,0.82,25.45,0,4.93,0,0,0,0,0,60.74,0,0,7.39,118.2,48.43,0,0.82,0,0,0,0,0,4.93,13.95,52.53,0,0,0.82,0,0
 36-46,0,0,0,0,16.11,0,0,0,0,4.03,1.61,19.34,0,4.03,0,0.81,0,0,1.61,62.04,0,0,5.64,130.52,44.31,0,1.61,0,0,0,0,0,2.42,0,24.98,0,0,0,0,0
 48-58,0,0,0,0,7.46,0,0,10.33,0,4.59,3.44,30.41,0,4.02,0,0,0,0,0,128.53,0,2.87,4.59,91.81,37.87,0.57,1.15,0,2.3,0,0,0,1.15,0,17.21,0,0,1.72,0,0.57
 60-70,0.98,0,0,0,9.82,0,0,9.82,0,18.65,4.91,33.37,0,3.93,0.98,0.98,0,0,0,272.86,0,7.85,6.87,45.15,31.41,0,0,0,2.94,0,0,0,0,0,3.93,0,8.83,7.85,6.87,0
 72-82,0,0,0,0,13.74,0,0,54.97,0,18.65,16.69,20.61,1.96,0.98,0,0.98,0,0,0,572.31,0,31.41,14.72,65.77,40.25,0,1.96,0,3.93,0.98,0,0,0,0,8.83,0.98,14.72,1.96,21.6,0
 84-94,1.06,0,0,0,10.62,1.06,0,59.47,1.06,24.43,10.62,14.87,0,4.25,1.06,4.25,0,0,1.06,291,2.12,23.36,4.25,44.61,48.85,0,4.25,0,0,1.06,0,0,0,0,1.06,0,15.93,3.19,18.05,0
 96-106,0,0,1.09,0,19.67,1.09,2.19,53.55,1.09,14.21,19.67,25.14,1.09,4.37,0,2.19,0,1.09,0,303.81,0,29.51,9.84,49.18,37.16,0,0,0,2.19,2.19,0,0,1.09,0,1.09,0,17.49,4.37,31.69,0
108-118,0,0,0,0,9.19,0,0,36.77,0,20.68,13.79,14.55,0.77,2.3,0,1.53,0.77,0,1.53,315.58,0.77,19.92,4.6,45.19,29.11,0.77,0,0,0.77,0,0,0,0,0,0.77,0,7.66,3.83,22.21,0.77
120,1.96,0,0,0,13.72,0,0,17.64,0,19.6,9.8,13.72,7.84,1.96,0,0,1.96,0,0,229.29,0,19.6,1.96,37.24,31.36,1.96,0,0,0,0,0,0,1.96,0,0,1.96,3.92,0,15.68,0
